
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 46	Lines 46 Profile Sample	552	 58	46	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 46	Lines 46 Profile Sample	631.76	 58	46	0.0894	1	0.0404	Line Profile Sample
Line Profile Sample 3 for Lines 46	Lines 46 Profile Sample	718.3	 58	46	0.179	2	0.0808	Line Profile Sample
Line Profile Sample 4 for Lines 46	Lines 46 Profile Sample	802.41	 58	46	0.268	3	0.121	Line Profile Sample
Line Profile Sample 5 for Lines 46	Lines 46 Profile Sample	853.71	 58	46	0.357	4	0.162	Line Profile Sample
Line Profile Sample 6 for Lines 46	Lines 46 Profile Sample	863.65	 58	46	0.447	5	0.202	Line Profile Sample
Line Profile Sample 7 for Lines 46	Lines 46 Profile Sample	868.84	 58	46	0.536	6	0.242	Line Profile Sample
Line Profile Sample 8 for Lines 46	Lines 46 Profile Sample	856.36	 58	46	0.626	7	0.283	Line Profile Sample
Line Profile Sample 9 for Lines 46	Lines 46 Profile Sample	861.48	 58	46	0.715	8	0.323	Line Profile Sample
Line Profile Sample 10 for Lines 46	Lines 46 Profile Sample	864.65	 58	46	0.804	9	0.364	Line Profile Sample
Line Profile Sample 11 for Lines 46	Lines 46 Profile Sample	872.97	 58	46	0.894	10	0.404	Line Profile Sample
Line Profile Sample 12 for Lines 46	Lines 46 Profile Sample	879.47	 58	46	0.983	11	0.444	Line Profile Sample
Line Profile Sample 13 for Lines 46	Lines 46 Profile Sample	892.93	 58	46	1.07	12	0.485	Line Profile Sample
Line Profile Sample 14 for Lines 46	Lines 46 Profile Sample	907.01	 58	46	1.16	13	0.525	Line Profile Sample
Line Profile Sample 15 for Lines 46	Lines 46 Profile Sample	903.12	 58	46	1.25	14	0.565	Line Profile Sample
Line Profile Sample 16 for Lines 46	Lines 46 Profile Sample	906.79	 58	46	1.34	15	0.606	Line Profile Sample
Line Profile Sample 17 for Lines 46	Lines 46 Profile Sample	897.81	 58	46	1.43	16	0.646	Line Profile Sample
Line Profile Sample 18 for Lines 46	Lines 46 Profile Sample	878.38	 58	46	1.52	17	0.687	Line Profile Sample
Line Profile Sample 19 for Lines 46	Lines 46 Profile Sample	873.14	 58	46	1.61	18	0.727	Line Profile Sample
Line Profile Sample 20 for Lines 46	Lines 46 Profile Sample	859.61	 58	46	1.7	19	0.767	Line Profile Sample
Line Profile Sample 21 for Lines 46	Lines 46 Profile Sample	857.16	 58	46	1.79	20	0.808	Line Profile Sample
Line Profile Sample 22 for Lines 46	Lines 46 Profile Sample	836.01	 58	46	1.88	21	0.848	Line Profile Sample
Line Profile Sample 23 for Lines 46	Lines 46 Profile Sample	813.12	 58	46	1.97	22	0.889	Line Profile Sample
Line Profile Sample 24 for Lines 46	Lines 46 Profile Sample	778.12	 58	46	2.06	23	0.929	Line Profile Sample
Line Profile Sample 25 for Lines 46	Lines 46 Profile Sample	775.05	 58	46	2.14	24	0.969	Line Profile Sample
Line Profile Sample 26 for Lines 46	Lines 46 Profile Sample	772	 58	46	2.21	24.76	1	Line Profile Sample
