
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 13	Lines 13 Profile Sample	2260	 68	13	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 13	Lines 13 Profile Sample	2095.88	 68	13	0.0894	1	0.0294	Line Profile Sample
Line Profile Sample 3 for Lines 13	Lines 13 Profile Sample	1836.51	 68	13	0.179	2	0.0588	Line Profile Sample
Line Profile Sample 4 for Lines 13	Lines 13 Profile Sample	1598.42	 68	13	0.268	3	0.0882	Line Profile Sample
Line Profile Sample 5 for Lines 13	Lines 13 Profile Sample	1429.69	 68	13	0.357	4	0.118	Line Profile Sample
Line Profile Sample 6 for Lines 13	Lines 13 Profile Sample	1307.45	 68	13	0.447	5	0.147	Line Profile Sample
Line Profile Sample 7 for Lines 13	Lines 13 Profile Sample	1238.72	 68	13	0.536	6	0.176	Line Profile Sample
Line Profile Sample 8 for Lines 13	Lines 13 Profile Sample	1193.36	 68	13	0.626	7	0.206	Line Profile Sample
Line Profile Sample 9 for Lines 13	Lines 13 Profile Sample	1190.89	 68	13	0.715	8	0.235	Line Profile Sample
Line Profile Sample 10 for Lines 13	Lines 13 Profile Sample	1182.17	 68	13	0.804	9	0.265	Line Profile Sample
Line Profile Sample 11 for Lines 13	Lines 13 Profile Sample	1188.56	 68	13	0.894	10	0.294	Line Profile Sample
Line Profile Sample 12 for Lines 13	Lines 13 Profile Sample	1190.38	 68	13	0.983	11	0.323	Line Profile Sample
Line Profile Sample 13 for Lines 13	Lines 13 Profile Sample	1187.36	 68	13	1.07	12	0.353	Line Profile Sample
Line Profile Sample 14 for Lines 13	Lines 13 Profile Sample	1183.12	 68	13	1.16	13	0.382	Line Profile Sample
Line Profile Sample 15 for Lines 13	Lines 13 Profile Sample	1202.04	 68	13	1.25	14	0.412	Line Profile Sample
Line Profile Sample 16 for Lines 13	Lines 13 Profile Sample	1200.44	 68	13	1.34	15	0.441	Line Profile Sample
Line Profile Sample 17 for Lines 13	Lines 13 Profile Sample	1193.9	 68	13	1.43	16	0.47	Line Profile Sample
Line Profile Sample 18 for Lines 13	Lines 13 Profile Sample	1178.62	 68	13	1.52	17	0.5	Line Profile Sample
Line Profile Sample 19 for Lines 13	Lines 13 Profile Sample	1172.67	 68	13	1.61	18	0.529	Line Profile Sample
Line Profile Sample 20 for Lines 13	Lines 13 Profile Sample	1173.1	 68	13	1.7	19	0.559	Line Profile Sample
Line Profile Sample 21 for Lines 13	Lines 13 Profile Sample	1208.62	 68	13	1.79	20	0.588	Line Profile Sample
Line Profile Sample 22 for Lines 13	Lines 13 Profile Sample	1234.65	 68	13	1.88	21	0.617	Line Profile Sample
Line Profile Sample 23 for Lines 13	Lines 13 Profile Sample	1265.12	 68	13	1.97	22	0.647	Line Profile Sample
Line Profile Sample 24 for Lines 13	Lines 13 Profile Sample	1267.06	 68	13	2.06	23	0.676	Line Profile Sample
Line Profile Sample 25 for Lines 13	Lines 13 Profile Sample	1248.21	 68	13	2.14	24	0.706	Line Profile Sample
Line Profile Sample 26 for Lines 13	Lines 13 Profile Sample	1220.73	 68	13	2.23	25	0.735	Line Profile Sample
Line Profile Sample 27 for Lines 13	Lines 13 Profile Sample	1198.78	 68	13	2.32	26	0.764	Line Profile Sample
Line Profile Sample 28 for Lines 13	Lines 13 Profile Sample	1207.32	 68	13	2.41	27	0.794	Line Profile Sample
Line Profile Sample 29 for Lines 13	Lines 13 Profile Sample	1226.76	 68	13	2.5	28	0.823	Line Profile Sample
Line Profile Sample 30 for Lines 13	Lines 13 Profile Sample	1259.43	 68	13	2.59	29	0.853	Line Profile Sample
Line Profile Sample 31 for Lines 13	Lines 13 Profile Sample	1303.11	 68	13	2.68	30	0.882	Line Profile Sample
Line Profile Sample 32 for Lines 13	Lines 13 Profile Sample	1398.27	 68	13	2.77	31	0.911	Line Profile Sample
Line Profile Sample 33 for Lines 13	Lines 13 Profile Sample	1503.75	 68	13	2.86	32	0.941	Line Profile Sample
Line Profile Sample 34 for Lines 13	Lines 13 Profile Sample	1561.65	 68	13	2.95	33	0.97	Line Profile Sample
Line Profile Sample 35 for Lines 13	Lines 13 Profile Sample	1507.79	 68	13	3.04	34	1	Line Profile Sample
Line Profile Sample 36 for Lines 13	Lines 13 Profile Sample	1507	 68	13	3.04	34.01	1	Line Profile Sample
