
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 34	Lines 34 Profile Sample	1183	 60	34	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 34	Lines 34 Profile Sample	1203.43	 60	34	0.0894	1	0.0359	Line Profile Sample
Line Profile Sample 3 for Lines 34	Lines 34 Profile Sample	1160.43	 60	34	0.179	2	0.0717	Line Profile Sample
Line Profile Sample 4 for Lines 34	Lines 34 Profile Sample	1103.29	 60	34	0.268	3	0.108	Line Profile Sample
Line Profile Sample 5 for Lines 34	Lines 34 Profile Sample	1074.43	 60	34	0.357	4	0.143	Line Profile Sample
Line Profile Sample 6 for Lines 34	Lines 34 Profile Sample	1074.72	 60	34	0.447	5	0.179	Line Profile Sample
Line Profile Sample 7 for Lines 34	Lines 34 Profile Sample	1076.54	 60	34	0.536	6	0.215	Line Profile Sample
Line Profile Sample 8 for Lines 34	Lines 34 Profile Sample	1053.01	 60	34	0.626	7	0.251	Line Profile Sample
Line Profile Sample 9 for Lines 34	Lines 34 Profile Sample	1052.82	 60	34	0.715	8	0.287	Line Profile Sample
Line Profile Sample 10 for Lines 34	Lines 34 Profile Sample	1037.48	 60	34	0.804	9	0.323	Line Profile Sample
Line Profile Sample 11 for Lines 34	Lines 34 Profile Sample	1030.46	 60	34	0.894	10	0.359	Line Profile Sample
Line Profile Sample 12 for Lines 34	Lines 34 Profile Sample	1019.15	 60	34	0.983	11	0.394	Line Profile Sample
Line Profile Sample 13 for Lines 34	Lines 34 Profile Sample	1012.43	 60	34	1.07	12	0.43	Line Profile Sample
Line Profile Sample 14 for Lines 34	Lines 34 Profile Sample	1020.25	 60	34	1.16	13	0.466	Line Profile Sample
Line Profile Sample 15 for Lines 34	Lines 34 Profile Sample	1032.56	 60	34	1.25	14	0.502	Line Profile Sample
Line Profile Sample 16 for Lines 34	Lines 34 Profile Sample	1050.08	 60	34	1.34	15	0.538	Line Profile Sample
Line Profile Sample 17 for Lines 34	Lines 34 Profile Sample	1051.58	 60	34	1.43	16	0.574	Line Profile Sample
Line Profile Sample 18 for Lines 34	Lines 34 Profile Sample	1066.7	 60	34	1.52	17	0.609	Line Profile Sample
Line Profile Sample 19 for Lines 34	Lines 34 Profile Sample	1070.27	 60	34	1.61	18	0.645	Line Profile Sample
Line Profile Sample 20 for Lines 34	Lines 34 Profile Sample	1063.56	 60	34	1.7	19	0.681	Line Profile Sample
Line Profile Sample 21 for Lines 34	Lines 34 Profile Sample	1050.91	 60	34	1.79	20	0.717	Line Profile Sample
Line Profile Sample 22 for Lines 34	Lines 34 Profile Sample	1053.85	 60	34	1.88	21	0.753	Line Profile Sample
Line Profile Sample 23 for Lines 34	Lines 34 Profile Sample	1053.79	 60	34	1.97	22	0.789	Line Profile Sample
Line Profile Sample 24 for Lines 34	Lines 34 Profile Sample	1091.09	 60	34	2.06	23	0.825	Line Profile Sample
Line Profile Sample 25 for Lines 34	Lines 34 Profile Sample	1104.38	 60	34	2.14	24	0.86	Line Profile Sample
Line Profile Sample 26 for Lines 34	Lines 34 Profile Sample	1111.81	 60	34	2.23	25	0.896	Line Profile Sample
Line Profile Sample 27 for Lines 34	Lines 34 Profile Sample	1121.94	 60	34	2.32	26	0.932	Line Profile Sample
Line Profile Sample 28 for Lines 34	Lines 34 Profile Sample	1131.96	 60	34	2.41	27	0.968	Line Profile Sample
Line Profile Sample 29 for Lines 34	Lines 34 Profile Sample	1152	 60	34	2.49	27.89	1	Line Profile Sample
