av_intensity,stdev_intensity,av_distance,stdev_distance
0.45142654631932366,0.3823800787625501,0.01966086956521739,0.02046357033846837
0.47516947257802045,0.29685354943352893,0.08357111111111111,0.01364605541110061
0.40429696356014205,0.26787189151693036,0.1330232558139535,0.013433235918516615
0.40176793677892453,0.27224239353865787,0.18605882352941178,0.01622271464916508
0.36981036023548475,0.2185641604764239,0.23768292682926828,0.013355596250992023
0.39518953776094173,0.22139727805601989,0.28942,0.016543190226106407
0.4072431519057809,0.2126887768045838,0.34228888888888886,0.015037260120088087
0.40242430049727684,0.18985187273384363,0.3950416666666667,0.015359463550768159
0.40092371367059004,0.20731104537606387,0.4476,0.014786972153032056
0.4257186085440288,0.1870213710219231,0.499063829787234,0.015202122642577365
0.4150968205867496,0.16958039506414718,0.551804347826087,0.014896113684399359
0.415620083080855,0.17588162163736293,0.6056,0.01638690368083301
0.40458024238556944,0.17303802566623971,0.6589318181818182,0.014578413042917075
0.3840542867923479,0.1701551133277064,0.7105,0.015907980066219404
0.3800821386146091,0.21332792805438977,0.7635000000000001,0.014992961311525128
0.4310488496586052,0.27040793340904873,0.8149782608695653,0.014407542978800699
0.4667761906970236,0.2869738257834019,0.8686666666666667,0.01517883932059918
0.5107865727923415,0.31562479329021925,0.9203409090909092,0.014615925022748732
0.5272181349284596,0.3755699344344904,0.9847159090909091,0.018274376800315708
