Chosen distance cutoff, 0.25
Chosen percent difference, 20.0
FlAsHProPClsAH224AH404A delocalised count, 40
FlAsHProPClsAH224AH404A one pole count, 35
FlAsHProPClsAH224AH404A two pole count, 27

FlAsHProPClsAH224AH404A delocalised cells, FlAsHProPClsAH224AH404A1, FlAsHProPClsAH224AH404A10, FlAsHProPClsAH224AH404A102, FlAsHProPClsAH224AH404A12, FlAsHProPClsAH224AH404A14, FlAsHProPClsAH224AH404A17, FlAsHProPClsAH224AH404A21, FlAsHProPClsAH224AH404A22, FlAsHProPClsAH224AH404A23, FlAsHProPClsAH224AH404A24, FlAsHProPClsAH224AH404A26, FlAsHProPClsAH224AH404A27, FlAsHProPClsAH224AH404A29, FlAsHProPClsAH224AH404A32, FlAsHProPClsAH224AH404A33, FlAsHProPClsAH224AH404A34, FlAsHProPClsAH224AH404A35, FlAsHProPClsAH224AH404A36, FlAsHProPClsAH224AH404A37, FlAsHProPClsAH224AH404A38, FlAsHProPClsAH224AH404A39, FlAsHProPClsAH224AH404A40, FlAsHProPClsAH224AH404A41, FlAsHProPClsAH224AH404A43, FlAsHProPClsAH224AH404A44, FlAsHProPClsAH224AH404A45, FlAsHProPClsAH224AH404A46, FlAsHProPClsAH224AH404A48, FlAsHProPClsAH224AH404A6, FlAsHProPClsAH224AH404A64, FlAsHProPClsAH224AH404A70, FlAsHProPClsAH224AH404A71, FlAsHProPClsAH224AH404A81, FlAsHProPClsAH224AH404A84, FlAsHProPClsAH224AH404A87, FlAsHProPClsAH224AH404A89, FlAsHProPClsAH224AH404A92, FlAsHProPClsAH224AH404A95, FlAsHProPClsAH224AH404A97, FlAsHProPClsAH224AH404A98
FlAsHProPClsAH224AH404A one pole cells, FlAsHProPClsAH224AH404A101, FlAsHProPClsAH224AH404A11, FlAsHProPClsAH224AH404A13, FlAsHProPClsAH224AH404A15, FlAsHProPClsAH224AH404A16, FlAsHProPClsAH224AH404A19, FlAsHProPClsAH224AH404A2, FlAsHProPClsAH224AH404A20, FlAsHProPClsAH224AH404A25, FlAsHProPClsAH224AH404A3, FlAsHProPClsAH224AH404A30, FlAsHProPClsAH224AH404A31, FlAsHProPClsAH224AH404A4, FlAsHProPClsAH224AH404A42, FlAsHProPClsAH224AH404A47, FlAsHProPClsAH224AH404A5, FlAsHProPClsAH224AH404A51, FlAsHProPClsAH224AH404A53, FlAsHProPClsAH224AH404A59, FlAsHProPClsAH224AH404A61, FlAsHProPClsAH224AH404A65, FlAsHProPClsAH224AH404A66, FlAsHProPClsAH224AH404A67, FlAsHProPClsAH224AH404A69, FlAsHProPClsAH224AH404A7, FlAsHProPClsAH224AH404A72, FlAsHProPClsAH224AH404A74, FlAsHProPClsAH224AH404A75, FlAsHProPClsAH224AH404A76, FlAsHProPClsAH224AH404A78, FlAsHProPClsAH224AH404A83, FlAsHProPClsAH224AH404A88, FlAsHProPClsAH224AH404A9, FlAsHProPClsAH224AH404A93, FlAsHProPClsAH224AH404A99
FlAsHProPClsAH224AH404A two pole cells, FlAsHProPClsAH224AH404A100, FlAsHProPClsAH224AH404A18, FlAsHProPClsAH224AH404A28, FlAsHProPClsAH224AH404A49, FlAsHProPClsAH224AH404A50, FlAsHProPClsAH224AH404A52, FlAsHProPClsAH224AH404A54, FlAsHProPClsAH224AH404A55, FlAsHProPClsAH224AH404A56, FlAsHProPClsAH224AH404A57, FlAsHProPClsAH224AH404A58, FlAsHProPClsAH224AH404A60, FlAsHProPClsAH224AH404A62, FlAsHProPClsAH224AH404A63, FlAsHProPClsAH224AH404A68, FlAsHProPClsAH224AH404A73, FlAsHProPClsAH224AH404A77, FlAsHProPClsAH224AH404A79, FlAsHProPClsAH224AH404A8, FlAsHProPClsAH224AH404A80, FlAsHProPClsAH224AH404A82, FlAsHProPClsAH224AH404A85, FlAsHProPClsAH224AH404A86, FlAsHProPClsAH224AH404A90, FlAsHProPClsAH224AH404A91, FlAsHProPClsAH224AH404A94, FlAsHProPClsAH224AH404A96

