
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 28	Lines 28 Profile Sample	1126	 60	28	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 28	Lines 28 Profile Sample	1182.69	 60	28	0.0894	1	0.0452	Line Profile Sample
Line Profile Sample 3 for Lines 28	Lines 28 Profile Sample	1141.1	 60	28	0.179	2	0.0904	Line Profile Sample
Line Profile Sample 4 for Lines 28	Lines 28 Profile Sample	1066.42	 60	28	0.268	3	0.136	Line Profile Sample
Line Profile Sample 5 for Lines 28	Lines 28 Profile Sample	1061.15	 60	28	0.357	4	0.181	Line Profile Sample
Line Profile Sample 6 for Lines 28	Lines 28 Profile Sample	1071.99	 60	28	0.447	5	0.226	Line Profile Sample
Line Profile Sample 7 for Lines 28	Lines 28 Profile Sample	1089.37	 60	28	0.536	6	0.271	Line Profile Sample
Line Profile Sample 8 for Lines 28	Lines 28 Profile Sample	1091.49	 60	28	0.626	7	0.316	Line Profile Sample
Line Profile Sample 9 for Lines 28	Lines 28 Profile Sample	1085.63	 60	28	0.715	8	0.361	Line Profile Sample
Line Profile Sample 10 for Lines 28	Lines 28 Profile Sample	1093.12	 60	28	0.804	9	0.407	Line Profile Sample
Line Profile Sample 11 for Lines 28	Lines 28 Profile Sample	1099.71	 60	28	0.894	10	0.452	Line Profile Sample
Line Profile Sample 12 for Lines 28	Lines 28 Profile Sample	1102.78	 60	28	0.983	11	0.497	Line Profile Sample
Line Profile Sample 13 for Lines 28	Lines 28 Profile Sample	1115.13	 60	28	1.07	12	0.542	Line Profile Sample
Line Profile Sample 14 for Lines 28	Lines 28 Profile Sample	1114.55	 60	28	1.16	13	0.587	Line Profile Sample
Line Profile Sample 15 for Lines 28	Lines 28 Profile Sample	1127.36	 60	28	1.25	14	0.632	Line Profile Sample
Line Profile Sample 16 for Lines 28	Lines 28 Profile Sample	1147.1	 60	28	1.34	15	0.678	Line Profile Sample
Line Profile Sample 17 for Lines 28	Lines 28 Profile Sample	1175.62	 60	28	1.43	16	0.723	Line Profile Sample
Line Profile Sample 18 for Lines 28	Lines 28 Profile Sample	1202.75	 60	28	1.52	17	0.768	Line Profile Sample
Line Profile Sample 19 for Lines 28	Lines 28 Profile Sample	1233.06	 60	28	1.61	18	0.813	Line Profile Sample
Line Profile Sample 20 for Lines 28	Lines 28 Profile Sample	1296.63	 60	28	1.7	19	0.858	Line Profile Sample
Line Profile Sample 21 for Lines 28	Lines 28 Profile Sample	1340.62	 60	28	1.79	20	0.904	Line Profile Sample
Line Profile Sample 22 for Lines 28	Lines 28 Profile Sample	1178.49	 60	28	1.88	21	0.949	Line Profile Sample
Line Profile Sample 23 for Lines 28	Lines 28 Profile Sample	942.79	 60	28	1.97	22	0.994	Line Profile Sample
Line Profile Sample 24 for Lines 28	Lines 28 Profile Sample	909	 60	28	1.98	22.14	1	Line Profile Sample
