
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	543	22	0	0	0
Line Profile Sample 2 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	560.79	22	0.0894	1	0.0405
Line Profile Sample 3 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	568.13	22	0.179	2	0.081
Line Profile Sample 4 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	579.77	22	0.268	3	0.121
Line Profile Sample 5 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	591.26	22	0.357	4	0.162
Line Profile Sample 6 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	589.87	22	0.447	5	0.202
Line Profile Sample 7 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	599.91	22	0.536	6	0.243
Line Profile Sample 8 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	614.49	22	0.626	7	0.283
Line Profile Sample 9 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	618.91	22	0.715	8	0.324
Line Profile Sample 10 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	609.46	22	0.804	9	0.364
Line Profile Sample 11 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	610.05	22	0.894	10	0.405
Line Profile Sample 12 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	625.97	22	0.983	11	0.445
Line Profile Sample 13 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	627.92	22	1.07	12	0.486
Line Profile Sample 14 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	632.72	22	1.16	13	0.526
Line Profile Sample 15 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	616.92	22	1.25	14	0.567
Line Profile Sample 16 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	619.56	22	1.34	15	0.607
Line Profile Sample 17 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	630.44	22	1.43	16	0.648
Line Profile Sample 18 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	609.44	22	1.52	17	0.688
Line Profile Sample 19 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	617.22	22	1.61	18	0.729
Line Profile Sample 20 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	617.09	22	1.7	19	0.769
Line Profile Sample 21 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	604.67	22	1.79	20	0.81
Line Profile Sample 22 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	600.89	22	1.88	21	0.85
Line Profile Sample 23 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	598.93	22	1.97	22	0.891
Line Profile Sample 24 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	593.26	22	2.06	23	0.931
Line Profile Sample 25 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	576.33	22	2.14	24	0.972
Line Profile Sample 26 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 17	580	22	2.21	24.7	1
