av_intensity,stdev_intensity,av_distance,stdev_distance
0.8103804289376013,0.1416299127528132,0.01286,0.01876027718345334
0.841449381540138,0.1602991405442958,0.06115,0.017848716106954772
0.6915907514016572,0.33550957181395247,0.106175,0.015830850682554406
0.5829074194513902,0.3917834097213552,0.15100000000000002,0.013976170195491083
0.5032690929207284,0.34474756313425836,0.19624999999999998,0.0124733048280451
0.3914753226274423,0.24800006473294436,0.24125000000000002,0.01099621146880445
0.21489525040808358,0.10971688947917359,0.28625,0.01004572877727974
0.20848000500285904,0.1452131006585322,0.331,0.009899494936611648
0.1362153408274469,0.09248523246871689,0.37675000000000003,0.010372238588334417
0.07951250682465758,0.04794245950745482,0.42819999999999997,0.0174556581084759
0.06650048979885749,0.06733651951061127,0.47725,0.015777093099385138
0.09730674036006515,0.04699167099985084,0.52225,0.013696106502701184
0.06600620425285098,0.05454819537107967,0.567,0.012027745701779093
0.10886740931047215,0.08672596079888985,0.61225,0.010781929326423922
0.09982506804449483,0.07161900213118674,0.65725,0.009742518497116997
0.12911627617146634,0.09209938374379309,0.7022499999999999,0.009394147114027977
0.17300243297859647,0.07855363848555971,0.74725,0.009639329160614179
0.2593523578993677,0.17078923201276952,0.79225,0.01056330125166056
0.3159176483724132,0.1794554283444144,0.8372499999999999,0.012038133853162911
0.458751903026929,0.2505834591982196,0.8878,0.016664333169977143
0.42153738036726907,0.08537060788117874,0.93775,0.012553220038433654
0.426582376836132,0.24896663101573838,0.99,0.012206555615733713
