
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 48	Lines 48 Profile Sample	1292	 7	48	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 48	Lines 48 Profile Sample	1408.58	 7	48	0.0894	1	0.0562	Line Profile Sample
Line Profile Sample 3 for Lines 48	Lines 48 Profile Sample	1463.83	 7	48	0.179	2	0.112	Line Profile Sample
Line Profile Sample 4 for Lines 48	Lines 48 Profile Sample	1492.9	 7	48	0.268	3	0.168	Line Profile Sample
Line Profile Sample 5 for Lines 48	Lines 48 Profile Sample	1514.91	 7	48	0.357	4	0.225	Line Profile Sample
Line Profile Sample 6 for Lines 48	Lines 48 Profile Sample	1521.58	 7	48	0.447	5	0.281	Line Profile Sample
Line Profile Sample 7 for Lines 48	Lines 48 Profile Sample	1554.01	 7	48	0.536	6	0.337	Line Profile Sample
Line Profile Sample 8 for Lines 48	Lines 48 Profile Sample	1547.61	 7	48	0.626	7	0.393	Line Profile Sample
Line Profile Sample 9 for Lines 48	Lines 48 Profile Sample	1530.89	 7	48	0.715	8	0.449	Line Profile Sample
Line Profile Sample 10 for Lines 48	Lines 48 Profile Sample	1583.79	 7	48	0.804	9	0.505	Line Profile Sample
Line Profile Sample 11 for Lines 48	Lines 48 Profile Sample	1579.47	 7	48	0.894	10	0.562	Line Profile Sample
Line Profile Sample 12 for Lines 48	Lines 48 Profile Sample	1604.09	 7	48	0.983	11	0.618	Line Profile Sample
Line Profile Sample 13 for Lines 48	Lines 48 Profile Sample	1656.37	 7	48	1.07	12	0.674	Line Profile Sample
Line Profile Sample 14 for Lines 48	Lines 48 Profile Sample	1709.42	 7	48	1.16	13	0.73	Line Profile Sample
Line Profile Sample 15 for Lines 48	Lines 48 Profile Sample	1679.95	 7	48	1.25	14	0.786	Line Profile Sample
Line Profile Sample 16 for Lines 48	Lines 48 Profile Sample	1669.54	 7	48	1.34	15	0.842	Line Profile Sample
Line Profile Sample 17 for Lines 48	Lines 48 Profile Sample	1707.33	 7	48	1.43	16	0.899	Line Profile Sample
Line Profile Sample 18 for Lines 48	Lines 48 Profile Sample	1759.59	 7	48	1.52	17	0.955	Line Profile Sample
Line Profile Sample 19 for Lines 48	Lines 48 Profile Sample	1727	 7	48	1.59	17.8	1	Line Profile Sample
