
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 59	Lines 59 Profile Sample	989	 10	59	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 59	Lines 59 Profile Sample	1004.4	 10	59	0.0894	1	0.0387	Line Profile Sample
Line Profile Sample 3 for Lines 59	Lines 59 Profile Sample	984.7	 10	59	0.179	2	0.0775	Line Profile Sample
Line Profile Sample 4 for Lines 59	Lines 59 Profile Sample	992.78	 10	59	0.268	3	0.116	Line Profile Sample
Line Profile Sample 5 for Lines 59	Lines 59 Profile Sample	993.93	 10	59	0.357	4	0.155	Line Profile Sample
Line Profile Sample 6 for Lines 59	Lines 59 Profile Sample	980.95	 10	59	0.447	5	0.194	Line Profile Sample
Line Profile Sample 7 for Lines 59	Lines 59 Profile Sample	990.73	 10	59	0.536	6	0.232	Line Profile Sample
Line Profile Sample 8 for Lines 59	Lines 59 Profile Sample	997.83	 10	59	0.626	7	0.271	Line Profile Sample
Line Profile Sample 9 for Lines 59	Lines 59 Profile Sample	982.52	 10	59	0.715	8	0.31	Line Profile Sample
Line Profile Sample 10 for Lines 59	Lines 59 Profile Sample	979.54	 10	59	0.804	9	0.349	Line Profile Sample
Line Profile Sample 11 for Lines 59	Lines 59 Profile Sample	988.68	 10	59	0.894	10	0.387	Line Profile Sample
Line Profile Sample 12 for Lines 59	Lines 59 Profile Sample	991.66	 10	59	0.983	11	0.426	Line Profile Sample
Line Profile Sample 13 for Lines 59	Lines 59 Profile Sample	1019.09	 10	59	1.07	12	0.465	Line Profile Sample
Line Profile Sample 14 for Lines 59	Lines 59 Profile Sample	1050.47	 10	59	1.16	13	0.504	Line Profile Sample
Line Profile Sample 15 for Lines 59	Lines 59 Profile Sample	1064.18	 10	59	1.25	14	0.542	Line Profile Sample
Line Profile Sample 16 for Lines 59	Lines 59 Profile Sample	1049.53	 10	59	1.34	15	0.581	Line Profile Sample
Line Profile Sample 17 for Lines 59	Lines 59 Profile Sample	1026.51	 10	59	1.43	16	0.62	Line Profile Sample
Line Profile Sample 18 for Lines 59	Lines 59 Profile Sample	1027.23	 10	59	1.52	17	0.659	Line Profile Sample
Line Profile Sample 19 for Lines 59	Lines 59 Profile Sample	1074.22	 10	59	1.61	18	0.697	Line Profile Sample
Line Profile Sample 20 for Lines 59	Lines 59 Profile Sample	1127.85	 10	59	1.7	19	0.736	Line Profile Sample
Line Profile Sample 21 for Lines 59	Lines 59 Profile Sample	1169.54	 10	59	1.79	20	0.775	Line Profile Sample
Line Profile Sample 22 for Lines 59	Lines 59 Profile Sample	1203.65	 10	59	1.88	21	0.814	Line Profile Sample
Line Profile Sample 23 for Lines 59	Lines 59 Profile Sample	1229.43	 10	59	1.97	22	0.852	Line Profile Sample
Line Profile Sample 24 for Lines 59	Lines 59 Profile Sample	1291.98	 10	59	2.06	23	0.891	Line Profile Sample
Line Profile Sample 25 for Lines 59	Lines 59 Profile Sample	1332.3	 10	59	2.14	24	0.93	Line Profile Sample
Line Profile Sample 26 for Lines 59	Lines 59 Profile Sample	1328.07	 10	59	2.23	25	0.969	Line Profile Sample
Line Profile Sample 27 for Lines 59	Lines 59 Profile Sample	1271	 10	59	2.31	25.81	1	Line Profile Sample
