
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 78	Lines 78 Profile Sample	976	 13	78	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 78	Lines 78 Profile Sample	925.94	 13	78	0.0894	1	0.0655	Line Profile Sample
Line Profile Sample 3 for Lines 78	Lines 78 Profile Sample	855.54	 13	78	0.179	2	0.131	Line Profile Sample
Line Profile Sample 4 for Lines 78	Lines 78 Profile Sample	818.58	 13	78	0.268	3	0.197	Line Profile Sample
Line Profile Sample 5 for Lines 78	Lines 78 Profile Sample	817.37	 13	78	0.357	4	0.262	Line Profile Sample
Line Profile Sample 6 for Lines 78	Lines 78 Profile Sample	827.27	 13	78	0.447	5	0.328	Line Profile Sample
Line Profile Sample 7 for Lines 78	Lines 78 Profile Sample	829.35	 13	78	0.536	6	0.393	Line Profile Sample
Line Profile Sample 8 for Lines 78	Lines 78 Profile Sample	802.8	 13	78	0.626	7	0.459	Line Profile Sample
Line Profile Sample 9 for Lines 78	Lines 78 Profile Sample	807.26	 13	78	0.715	8	0.524	Line Profile Sample
Line Profile Sample 10 for Lines 78	Lines 78 Profile Sample	825.19	 13	78	0.804	9	0.59	Line Profile Sample
Line Profile Sample 11 for Lines 78	Lines 78 Profile Sample	818.1	 13	78	0.894	10	0.655	Line Profile Sample
Line Profile Sample 12 for Lines 78	Lines 78 Profile Sample	807.18	 13	78	0.983	11	0.721	Line Profile Sample
Line Profile Sample 13 for Lines 78	Lines 78 Profile Sample	820.67	 13	78	1.07	12	0.786	Line Profile Sample
Line Profile Sample 14 for Lines 78	Lines 78 Profile Sample	824.98	 13	78	1.16	13	0.852	Line Profile Sample
Line Profile Sample 15 for Lines 78	Lines 78 Profile Sample	843.01	 13	78	1.25	14	0.917	Line Profile Sample
Line Profile Sample 16 for Lines 78	Lines 78 Profile Sample	839.47	 13	78	1.34	15	0.983	Line Profile Sample
Line Profile Sample 17 for Lines 78	Lines 78 Profile Sample	841	 13	78	1.36	15.26	1	Line Profile Sample
