
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 34	Lines 34 Profile Sample	1765	 78	34	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 34	Lines 34 Profile Sample	2008.36	 78	34	0.0894	1	0.0718	Line Profile Sample
Line Profile Sample 3 for Lines 34	Lines 34 Profile Sample	2116.55	 78	34	0.179	2	0.144	Line Profile Sample
Line Profile Sample 4 for Lines 34	Lines 34 Profile Sample	2018.67	 78	34	0.268	3	0.215	Line Profile Sample
Line Profile Sample 5 for Lines 34	Lines 34 Profile Sample	1888.64	 78	34	0.357	4	0.287	Line Profile Sample
Line Profile Sample 6 for Lines 34	Lines 34 Profile Sample	1812.23	 78	34	0.447	5	0.359	Line Profile Sample
Line Profile Sample 7 for Lines 34	Lines 34 Profile Sample	1788.9	 78	34	0.536	6	0.431	Line Profile Sample
Line Profile Sample 8 for Lines 34	Lines 34 Profile Sample	1832.36	 78	34	0.626	7	0.503	Line Profile Sample
Line Profile Sample 9 for Lines 34	Lines 34 Profile Sample	1920.8	 78	34	0.715	8	0.574	Line Profile Sample
Line Profile Sample 10 for Lines 34	Lines 34 Profile Sample	2035.09	 78	34	0.804	9	0.646	Line Profile Sample
Line Profile Sample 11 for Lines 34	Lines 34 Profile Sample	2105.53	 78	34	0.894	10	0.718	Line Profile Sample
Line Profile Sample 12 for Lines 34	Lines 34 Profile Sample	2079.28	 78	34	0.983	11	0.79	Line Profile Sample
Line Profile Sample 13 for Lines 34	Lines 34 Profile Sample	1966.22	 78	34	1.07	12	0.862	Line Profile Sample
Line Profile Sample 14 for Lines 34	Lines 34 Profile Sample	1772.42	 78	34	1.16	13	0.933	Line Profile Sample
Line Profile Sample 15 for Lines 34	Lines 34 Profile Sample	1478	 78	34	1.24	13.93	1	Line Profile Sample
