
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 24	Lines 24 Profile Sample	1121	 78	24	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 24	Lines 24 Profile Sample	1155.23	 78	24	0.0894	1	0.0565	Line Profile Sample
Line Profile Sample 3 for Lines 24	Lines 24 Profile Sample	1197.3	 78	24	0.179	2	0.113	Line Profile Sample
Line Profile Sample 4 for Lines 24	Lines 24 Profile Sample	1221.52	 78	24	0.268	3	0.17	Line Profile Sample
Line Profile Sample 5 for Lines 24	Lines 24 Profile Sample	1228.18	 78	24	0.357	4	0.226	Line Profile Sample
Line Profile Sample 6 for Lines 24	Lines 24 Profile Sample	1228.46	 78	24	0.447	5	0.283	Line Profile Sample
Line Profile Sample 7 for Lines 24	Lines 24 Profile Sample	1241.23	 78	24	0.536	6	0.339	Line Profile Sample
Line Profile Sample 8 for Lines 24	Lines 24 Profile Sample	1245.94	 78	24	0.626	7	0.396	Line Profile Sample
Line Profile Sample 9 for Lines 24	Lines 24 Profile Sample	1244.17	 78	24	0.715	8	0.452	Line Profile Sample
Line Profile Sample 10 for Lines 24	Lines 24 Profile Sample	1227.76	 78	24	0.804	9	0.509	Line Profile Sample
Line Profile Sample 11 for Lines 24	Lines 24 Profile Sample	1226.98	 78	24	0.894	10	0.565	Line Profile Sample
Line Profile Sample 12 for Lines 24	Lines 24 Profile Sample	1227.51	 78	24	0.983	11	0.622	Line Profile Sample
Line Profile Sample 13 for Lines 24	Lines 24 Profile Sample	1268.03	 78	24	1.07	12	0.678	Line Profile Sample
Line Profile Sample 14 for Lines 24	Lines 24 Profile Sample	1303.58	 78	24	1.16	13	0.735	Line Profile Sample
Line Profile Sample 15 for Lines 24	Lines 24 Profile Sample	1331.01	 78	24	1.25	14	0.791	Line Profile Sample
Line Profile Sample 16 for Lines 24	Lines 24 Profile Sample	1334.01	 78	24	1.34	15	0.848	Line Profile Sample
Line Profile Sample 17 for Lines 24	Lines 24 Profile Sample	1364.57	 78	24	1.43	16	0.904	Line Profile Sample
Line Profile Sample 18 for Lines 24	Lines 24 Profile Sample	1358.62	 78	24	1.52	17	0.961	Line Profile Sample
Line Profile Sample 19 for Lines 24	Lines 24 Profile Sample	1338	 78	24	1.58	17.69	1	Line Profile Sample
