
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 6	Lines 6 Profile Sample	1279	 60	6	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 6	Lines 6 Profile Sample	1301.58	 60	6	0.0894	1	0.0445	Line Profile Sample
Line Profile Sample 3 for Lines 6	Lines 6 Profile Sample	1325.41	 60	6	0.179	2	0.089	Line Profile Sample
Line Profile Sample 4 for Lines 6	Lines 6 Profile Sample	1358.97	 60	6	0.268	3	0.133	Line Profile Sample
Line Profile Sample 5 for Lines 6	Lines 6 Profile Sample	1397.46	 60	6	0.357	4	0.178	Line Profile Sample
Line Profile Sample 6 for Lines 6	Lines 6 Profile Sample	1415.49	 60	6	0.447	5	0.222	Line Profile Sample
Line Profile Sample 7 for Lines 6	Lines 6 Profile Sample	1410.1	 60	6	0.536	6	0.267	Line Profile Sample
Line Profile Sample 8 for Lines 6	Lines 6 Profile Sample	1377.04	 60	6	0.626	7	0.311	Line Profile Sample
Line Profile Sample 9 for Lines 6	Lines 6 Profile Sample	1346.57	 60	6	0.715	8	0.356	Line Profile Sample
Line Profile Sample 10 for Lines 6	Lines 6 Profile Sample	1352.7	 60	6	0.804	9	0.4	Line Profile Sample
Line Profile Sample 11 for Lines 6	Lines 6 Profile Sample	1378.14	 60	6	0.894	10	0.445	Line Profile Sample
Line Profile Sample 12 for Lines 6	Lines 6 Profile Sample	1419.97	 60	6	0.983	11	0.489	Line Profile Sample
Line Profile Sample 13 for Lines 6	Lines 6 Profile Sample	1446.47	 60	6	1.07	12	0.534	Line Profile Sample
Line Profile Sample 14 for Lines 6	Lines 6 Profile Sample	1449.3	 60	6	1.16	13	0.578	Line Profile Sample
Line Profile Sample 15 for Lines 6	Lines 6 Profile Sample	1428.08	 60	6	1.25	14	0.623	Line Profile Sample
Line Profile Sample 16 for Lines 6	Lines 6 Profile Sample	1446.25	 60	6	1.34	15	0.667	Line Profile Sample
Line Profile Sample 17 for Lines 6	Lines 6 Profile Sample	1466.59	 60	6	1.43	16	0.712	Line Profile Sample
Line Profile Sample 18 for Lines 6	Lines 6 Profile Sample	1510.36	 60	6	1.52	17	0.756	Line Profile Sample
Line Profile Sample 19 for Lines 6	Lines 6 Profile Sample	1579.16	 60	6	1.61	18	0.801	Line Profile Sample
Line Profile Sample 20 for Lines 6	Lines 6 Profile Sample	1636.76	 60	6	1.7	19	0.845	Line Profile Sample
Line Profile Sample 21 for Lines 6	Lines 6 Profile Sample	1679.46	 60	6	1.79	20	0.89	Line Profile Sample
Line Profile Sample 22 for Lines 6	Lines 6 Profile Sample	1687.56	 60	6	1.88	21	0.934	Line Profile Sample
Line Profile Sample 23 for Lines 6	Lines 6 Profile Sample	1615.41	 60	6	1.97	22	0.979	Line Profile Sample
Line Profile Sample 24 for Lines 6	Lines 6 Profile Sample	1561	 60	6	2.01	22.47	1	Line Profile Sample
