Chosen distance cutoff, 0.2
Chosen percent difference, 40.0
highcls+ delocalised count, 36
highcls+ one pole count, 57
highcls+ two pole count, 8

highcls+ delocalised cells, hcls+10, hcls+105, hcls+13, hcls+18, hcls+20, hcls+29, hcls+3, hcls+30, hcls+31, hcls+34, hcls+35, hcls+36, hcls+39, hcls+4, hcls+41, hcls+42, hcls+43, hcls+46, hcls+49, hcls+51, hcls+59, hcls+6, hcls+62, hcls+64, hcls+66, hcls+69, hcls+7, hcls+70, hcls+71, hcls+72, hcls+8, hcls+80, hcls+83, hcls+9, hcls+94, hcls+96
highcls+ one pole cells, hcls+1, hcls+100, hcls+101, hcls+103, hcls+104, hcls+11, hcls+12, hcls+14, hcls+17, hcls+19, hcls+2, hcls+22, hcls+23, hcls+24, hcls+25, hcls+26, hcls+27, hcls+28, hcls+32, hcls+37, hcls+38, hcls+40, hcls+44, hcls+45, hcls+47, hcls+48, hcls+5, hcls+50, hcls+52, hcls+53, hcls+54, hcls+55, hcls+56, hcls+58, hcls+61, hcls+63, hcls+65, hcls+67, hcls+68, hcls+73, hcls+74, hcls+75, hcls+76, hcls+77, hcls+78, hcls+79, hcls+81, hcls+82, hcls+84, hcls+85, hcls+86, hcls+88, hcls+90, hcls+91, hcls+93, hcls+98, hcls+99
highcls+ two pole cells, hcls+16, hcls+21, hcls+33, hcls+57, hcls+89, hcls+92, hcls+95, hcls+97

