
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 51	Lines 51 Profile Sample	902	 57	51	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 51	Lines 51 Profile Sample	902.97	 57	51	0.0894	1	0.0428	Line Profile Sample
Line Profile Sample 3 for Lines 51	Lines 51 Profile Sample	916.15	 57	51	0.179	2	0.0857	Line Profile Sample
Line Profile Sample 4 for Lines 51	Lines 51 Profile Sample	890.38	 57	51	0.268	3	0.129	Line Profile Sample
Line Profile Sample 5 for Lines 51	Lines 51 Profile Sample	885.77	 57	51	0.357	4	0.171	Line Profile Sample
Line Profile Sample 6 for Lines 51	Lines 51 Profile Sample	864.03	 57	51	0.447	5	0.214	Line Profile Sample
Line Profile Sample 7 for Lines 51	Lines 51 Profile Sample	850.44	 57	51	0.536	6	0.257	Line Profile Sample
Line Profile Sample 8 for Lines 51	Lines 51 Profile Sample	862.94	 57	51	0.626	7	0.3	Line Profile Sample
Line Profile Sample 9 for Lines 51	Lines 51 Profile Sample	838.66	 57	51	0.715	8	0.343	Line Profile Sample
Line Profile Sample 10 for Lines 51	Lines 51 Profile Sample	844.47	 57	51	0.804	9	0.386	Line Profile Sample
Line Profile Sample 11 for Lines 51	Lines 51 Profile Sample	848.43	 57	51	0.894	10	0.428	Line Profile Sample
Line Profile Sample 12 for Lines 51	Lines 51 Profile Sample	846.07	 57	51	0.983	11	0.471	Line Profile Sample
Line Profile Sample 13 for Lines 51	Lines 51 Profile Sample	845.26	 57	51	1.07	12	0.514	Line Profile Sample
Line Profile Sample 14 for Lines 51	Lines 51 Profile Sample	867.81	 57	51	1.16	13	0.557	Line Profile Sample
Line Profile Sample 15 for Lines 51	Lines 51 Profile Sample	882.53	 57	51	1.25	14	0.6	Line Profile Sample
Line Profile Sample 16 for Lines 51	Lines 51 Profile Sample	901.18	 57	51	1.34	15	0.643	Line Profile Sample
Line Profile Sample 17 for Lines 51	Lines 51 Profile Sample	901.33	 57	51	1.43	16	0.685	Line Profile Sample
Line Profile Sample 18 for Lines 51	Lines 51 Profile Sample	943.53	 57	51	1.52	17	0.728	Line Profile Sample
Line Profile Sample 19 for Lines 51	Lines 51 Profile Sample	1062.79	 57	51	1.61	18	0.771	Line Profile Sample
Line Profile Sample 20 for Lines 51	Lines 51 Profile Sample	1206.98	 57	51	1.7	19	0.814	Line Profile Sample
Line Profile Sample 21 for Lines 51	Lines 51 Profile Sample	1337.39	 57	51	1.79	20	0.857	Line Profile Sample
Line Profile Sample 22 for Lines 51	Lines 51 Profile Sample	1418.4	 57	51	1.88	21	0.9	Line Profile Sample
Line Profile Sample 23 for Lines 51	Lines 51 Profile Sample	1426.11	 57	51	1.97	22	0.942	Line Profile Sample
Line Profile Sample 24 for Lines 51	Lines 51 Profile Sample	1388.16	 57	51	2.06	23	0.985	Line Profile Sample
Line Profile Sample 25 for Lines 51	Lines 51 Profile Sample	1370	 57	51	2.09	23.35	1	Line Profile Sample
