
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1810	25	0	0	0
Line Profile Sample 2 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2313.7	25	0.0894	1	0.0355
Line Profile Sample 3 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2593.07	25	0.179	2	0.071
Line Profile Sample 4 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2564.97	25	0.268	3	0.107
Line Profile Sample 5 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2276.45	25	0.357	4	0.142
Line Profile Sample 6 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2036.11	25	0.447	5	0.178
Line Profile Sample 7 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1851.05	25	0.536	6	0.213
Line Profile Sample 8 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1763.75	25	0.626	7	0.249
Line Profile Sample 9 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1700.47	25	0.715	8	0.284
Line Profile Sample 10 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1734.74	25	0.804	9	0.32
Line Profile Sample 11 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1833.77	25	0.894	10	0.355
Line Profile Sample 12 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1981.33	25	0.983	11	0.391
Line Profile Sample 13 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2185.69	25	1.07	12	0.426
Line Profile Sample 14 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2345.54	25	1.16	13	0.462
Line Profile Sample 15 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2606.05	25	1.25	14	0.497
Line Profile Sample 16 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2720.98	25	1.34	15	0.533
Line Profile Sample 17 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2602.85	25	1.43	16	0.568
Line Profile Sample 18 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2332.25	25	1.52	17	0.604
Line Profile Sample 19 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2078.89	25	1.61	18	0.639
Line Profile Sample 20 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1994.97	25	1.7	19	0.675
Line Profile Sample 21 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1928.48	25	1.79	20	0.71
Line Profile Sample 22 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2036.06	25	1.88	21	0.746
Line Profile Sample 23 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2283.48	25	1.97	22	0.781
Line Profile Sample 24 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2667.97	25	2.06	23	0.817
Line Profile Sample 25 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2971.67	25	2.14	24	0.852
Line Profile Sample 26 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2807.48	25	2.23	25	0.888
Line Profile Sample 27 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	2219.06	25	2.32	26	0.923
Line Profile Sample 28 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1654.32	25	2.41	27	0.959
Line Profile Sample 29 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1289.2	25	2.5	28	0.994
Line Profile Sample 30 for Lines 25	Lines 25 Profile Sample	Line Profile Sample	 15	1235	25	2.52	28.16	1
