
ID	Name	Population	Type	Item Name	Total Line Length (µm)	Start Position X	Start Position Y	End Position X	End Position Y	Intensity	Angle (degrees)	Bearing (degrees)	Line Width (µm)	Parent ID	Distance (µm)	Distance	Normalized Distance
N/A	Line Profile Sample 28 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	807.34	N/A	N/A	N/A	2	2.41	27	0.743
N/A	Line Profile Sample 29 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	831.19	N/A	N/A	N/A	2	2.5	28	0.77
N/A	Line Profile Sample 30 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	868.83	N/A	N/A	N/A	2	2.59	29	0.798
N/A	Line Profile Sample 31 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	861.82	N/A	N/A	N/A	2	2.68	30	0.825
N/A	Line Profile Sample 32 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	885.51	N/A	N/A	N/A	2	2.77	31	0.853
N/A	Line Profile Sample 33 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	942.95	N/A	N/A	N/A	2	2.86	32	0.88
N/A	Line Profile Sample 34 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1023.97	N/A	N/A	N/A	2	2.95	33	0.908
N/A	Line Profile Sample 35 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1044.13	N/A	N/A	N/A	2	3.04	34	0.935
N/A	Line Profile Sample 36 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1124.7	N/A	N/A	N/A	2	3.13	35	0.963
N/A	Line Profile Sample 37 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1040	N/A	N/A	N/A	2	3.22	36	0.99
N/A	Line Profile Sample 38 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	998	N/A	N/A	N/A	2	3.25	36.36	1
N/A	Line Profile Sample 1 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1953	N/A	N/A	N/A	3	0	0	0
N/A	Line Profile Sample 2 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1827.08	N/A	N/A	N/A	3	0.0894	1	0.0238
N/A	Line Profile Sample 3 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1655.32	N/A	N/A	N/A	3	0.179	2	0.0476
N/A	Line Profile Sample 4 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1551.75	N/A	N/A	N/A	3	0.268	3	0.0713
N/A	Line Profile Sample 5 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1515.22	N/A	N/A	N/A	3	0.357	4	0.0951
N/A	Line Profile Sample 6 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1531.8	N/A	N/A	N/A	3	0.447	5	0.119
N/A	Line Profile Sample 7 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1603.82	N/A	N/A	N/A	3	0.536	6	0.143
N/A	Line Profile Sample 8 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1638.37	N/A	N/A	N/A	3	0.626	7	0.166
N/A	Line Profile Sample 9 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1644.05	N/A	N/A	N/A	3	0.715	8	0.19
N/A	Line Profile Sample 10 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1588.74	N/A	N/A	N/A	3	0.804	9	0.214
N/A	Line Profile Sample 11 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1629.56	N/A	N/A	N/A	3	0.894	10	0.238
N/A	Line Profile Sample 12 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1581.22	N/A	N/A	N/A	3	0.983	11	0.262
N/A	Line Profile Sample 13 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1641.42	N/A	N/A	N/A	3	1.07	12	0.285
N/A	Line Profile Sample 14 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1711.85	N/A	N/A	N/A	3	1.16	13	0.309
N/A	Line Profile Sample 15 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1671.61	N/A	N/A	N/A	3	1.25	14	0.333
N/A	Line Profile Sample 16 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1671.36	N/A	N/A	N/A	3	1.34	15	0.357
N/A	Line Profile Sample 17 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1705.18	N/A	N/A	N/A	3	1.43	16	0.381
N/A	Line Profile Sample 18 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1713.64	N/A	N/A	N/A	3	1.52	17	0.404
N/A	Line Profile Sample 19 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1699.98	N/A	N/A	N/A	3	1.61	18	0.428
N/A	Line Profile Sample 20 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1645.61	N/A	N/A	N/A	3	1.7	19	0.452
N/A	Line Profile Sample 21 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1546.02	N/A	N/A	N/A	3	1.79	20	0.476
N/A	Line Profile Sample 22 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1673.71	N/A	N/A	N/A	3	1.88	21	0.499
N/A	Line Profile Sample 23 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1641.17	N/A	N/A	N/A	3	1.97	22	0.523
N/A	Line Profile Sample 24 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1658.62	N/A	N/A	N/A	3	2.06	23	0.547
N/A	Line Profile Sample 25 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1745.1	N/A	N/A	N/A	3	2.14	24	0.571
N/A	Line Profile Sample 26 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1720.41	N/A	N/A	N/A	3	2.23	25	0.595
N/A	Line Profile Sample 27 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1691.39	N/A	N/A	N/A	3	2.32	26	0.618
N/A	Line Profile Sample 28 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1720.01	N/A	N/A	N/A	3	2.41	27	0.642
N/A	Line Profile Sample 29 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1671.07	N/A	N/A	N/A	3	2.5	28	0.666
N/A	Line Profile Sample 30 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1750.92	N/A	N/A	N/A	3	2.59	29	0.69
N/A	Line Profile Sample 31 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1739.46	N/A	N/A	N/A	3	2.68	30	0.713
N/A	Line Profile Sample 32 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1716.94	N/A	N/A	N/A	3	2.77	31	0.737
N/A	Line Profile Sample 33 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1762.13	N/A	N/A	N/A	3	2.86	32	0.761
N/A	Line Profile Sample 34 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1794.49	N/A	N/A	N/A	3	2.95	33	0.785
N/A	Line Profile Sample 35 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1849.34	N/A	N/A	N/A	3	3.04	34	0.809
N/A	Line Profile Sample 36 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1778.62	N/A	N/A	N/A	3	3.13	35	0.832
N/A	Line Profile Sample 37 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1796.77	N/A	N/A	N/A	3	3.22	36	0.856
N/A	Line Profile Sample 38 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1836.25	N/A	N/A	N/A	3	3.31	37	0.88
N/A	Line Profile Sample 39 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1839.55	N/A	N/A	N/A	3	3.4	38	0.904
N/A	Line Profile Sample 40 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1764.13	N/A	N/A	N/A	3	3.49	39	0.928
N/A	Line Profile Sample 41 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1737.77	N/A	N/A	N/A	3	3.57	40	0.951
N/A	Line Profile Sample 42 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1757.62	N/A	N/A	N/A	3	3.66	41	0.975
N/A	Line Profile Sample 43 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1659.19	N/A	N/A	N/A	3	3.75	42	0.999
N/A	Line Profile Sample 44 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1654	N/A	N/A	N/A	3	3.76	42.05	1
N/A	Line Profile Sample 1 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	719	N/A	N/A	N/A	4	0	0	0
N/A	Line Profile Sample 2 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	841.3	N/A	N/A	N/A	4	0.0894	1	0.0456
N/A	Line Profile Sample 3 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1019.01	N/A	N/A	N/A	4	0.179	2	0.0912
N/A	Line Profile Sample 4 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1189.97	N/A	N/A	N/A	4	0.268	3	0.137
N/A	Line Profile Sample 5 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1362.94	N/A	N/A	N/A	4	0.357	4	0.182
N/A	Line Profile Sample 6 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1467.33	N/A	N/A	N/A	4	0.447	5	0.228
N/A	Line Profile Sample 7 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1523.78	N/A	N/A	N/A	4	0.536	6	0.274
N/A	Line Profile Sample 8 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1554.88	N/A	N/A	N/A	4	0.626	7	0.319
N/A	Line Profile Sample 9 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1620.04	N/A	N/A	N/A	4	0.715	8	0.365
N/A	Line Profile Sample 10 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1614.99	N/A	N/A	N/A	4	0.804	9	0.41
N/A	Line Profile Sample 11 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1739.63	N/A	N/A	N/A	4	0.894	10	0.456
N/A	Line Profile Sample 12 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1765.29	N/A	N/A	N/A	4	0.983	11	0.502
N/A	Line Profile Sample 13 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1728.98	N/A	N/A	N/A	4	1.07	12	0.547
N/A	Line Profile Sample 14 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1716.05	N/A	N/A	N/A	4	1.16	13	0.593
N/A	Line Profile Sample 15 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1741.31	N/A	N/A	N/A	4	1.25	14	0.638
N/A	Line Profile Sample 16 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1801.74	N/A	N/A	N/A	4	1.34	15	0.684
N/A	Line Profile Sample 17 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1936.67	N/A	N/A	N/A	4	1.43	16	0.73
N/A	Line Profile Sample 18 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2171.34	N/A	N/A	N/A	4	1.52	17	0.775
N/A	Line Profile Sample 19 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2385.55	N/A	N/A	N/A	4	1.61	18	0.821
N/A	Line Profile Sample 20 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2444.55	N/A	N/A	N/A	4	1.7	19	0.866
N/A	Line Profile Sample 21 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2226.09	N/A	N/A	N/A	4	1.79	20	0.912
N/A	Line Profile Sample 22 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1754.7	N/A	N/A	N/A	4	1.88	21	0.958
N/A	Line Profile Sample 23 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1341	N/A	N/A	N/A	4	1.96	21.93	1
N/A	Line Profile Sample 1 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1421	N/A	N/A	N/A	5	0	0	0
N/A	Line Profile Sample 2 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1518.42	N/A	N/A	N/A	5	0.0894	1	0.0458
N/A	Line Profile Sample 3 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1542.26	N/A	N/A	N/A	5	0.179	2	0.0916
