
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1199	5	0	0	0
Line Profile Sample 2 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1152.93	5	0.0894	1	0.0301
Line Profile Sample 3 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1199.66	5	0.179	2	0.0602
Line Profile Sample 4 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1336.22	5	0.268	3	0.0902
Line Profile Sample 5 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1346.13	5	0.357	4	0.12
Line Profile Sample 6 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1335.59	5	0.447	5	0.15
Line Profile Sample 7 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1338.19	5	0.536	6	0.18
Line Profile Sample 8 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1362.57	5	0.626	7	0.211
Line Profile Sample 9 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1395.07	5	0.715	8	0.241
Line Profile Sample 10 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1389.46	5	0.804	9	0.271
Line Profile Sample 11 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1380.05	5	0.894	10	0.301
Line Profile Sample 12 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1398.82	5	0.983	11	0.331
Line Profile Sample 13 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1464.9	5	1.07	12	0.361
Line Profile Sample 14 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1467.85	5	1.16	13	0.391
Line Profile Sample 15 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1417.34	5	1.25	14	0.421
Line Profile Sample 16 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1371.22	5	1.34	15	0.451
Line Profile Sample 17 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1405.4	5	1.43	16	0.481
Line Profile Sample 18 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1440.14	5	1.52	17	0.511
Line Profile Sample 19 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1437.11	5	1.61	18	0.541
Line Profile Sample 20 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1395.7	5	1.7	19	0.572
Line Profile Sample 21 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1412.91	5	1.79	20	0.602
Line Profile Sample 22 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1432.47	5	1.88	21	0.632
Line Profile Sample 23 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1433.21	5	1.97	22	0.662
Line Profile Sample 24 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1437.73	5	2.06	23	0.692
Line Profile Sample 25 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1423.37	5	2.14	24	0.722
Line Profile Sample 26 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1394.44	5	2.23	25	0.752
Line Profile Sample 27 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1348.19	5	2.32	26	0.782
Line Profile Sample 28 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1324.65	5	2.41	27	0.812
Line Profile Sample 29 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1328.1	5	2.5	28	0.842
Line Profile Sample 30 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1306.27	5	2.59	29	0.872
Line Profile Sample 31 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1238.66	5	2.68	30	0.902
Line Profile Sample 32 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1200.95	5	2.77	31	0.933
Line Profile Sample 33 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1190.39	5	2.86	32	0.963
Line Profile Sample 34 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1098.37	5	2.95	33	0.993
Line Profile Sample 35 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 21	1067	5	2.97	33.24	1
