
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 20	Lines 20 Profile Sample	1325		20	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 20	Lines 20 Profile Sample	1363.08		20	0.0894	1	0.0497	Line Profile Sample
Line Profile Sample 3 for Lines 20	Lines 20 Profile Sample	1374.6		20	0.179	2	0.0994	Line Profile Sample
Line Profile Sample 4 for Lines 20	Lines 20 Profile Sample	1375.38		20	0.268	3	0.149	Line Profile Sample
Line Profile Sample 5 for Lines 20	Lines 20 Profile Sample	1377.76		20	0.357	4	0.199	Line Profile Sample
Line Profile Sample 6 for Lines 20	Lines 20 Profile Sample	1401.74		20	0.447	5	0.248	Line Profile Sample
Line Profile Sample 7 for Lines 20	Lines 20 Profile Sample	1419.19		20	0.536	6	0.298	Line Profile Sample
Line Profile Sample 8 for Lines 20	Lines 20 Profile Sample	1406.77		20	0.626	7	0.348	Line Profile Sample
Line Profile Sample 9 for Lines 20	Lines 20 Profile Sample	1430.44		20	0.715	8	0.398	Line Profile Sample
Line Profile Sample 10 for Lines 20	Lines 20 Profile Sample	1405.29		20	0.804	9	0.447	Line Profile Sample
Line Profile Sample 11 for Lines 20	Lines 20 Profile Sample	1420.55		20	0.894	10	0.497	Line Profile Sample
Line Profile Sample 12 for Lines 20	Lines 20 Profile Sample	1427.77		20	0.983	11	0.547	Line Profile Sample
Line Profile Sample 13 for Lines 20	Lines 20 Profile Sample	1433.25		20	1.07	12	0.596	Line Profile Sample
Line Profile Sample 14 for Lines 20	Lines 20 Profile Sample	1409.89		20	1.16	13	0.646	Line Profile Sample
Line Profile Sample 15 for Lines 20	Lines 20 Profile Sample	1410.84		20	1.25	14	0.696	Line Profile Sample
Line Profile Sample 16 for Lines 20	Lines 20 Profile Sample	1418.15		20	1.34	15	0.745	Line Profile Sample
Line Profile Sample 17 for Lines 20	Lines 20 Profile Sample	1410.16		20	1.43	16	0.795	Line Profile Sample
Line Profile Sample 18 for Lines 20	Lines 20 Profile Sample	1409.46		20	1.52	17	0.845	Line Profile Sample
Line Profile Sample 19 for Lines 20	Lines 20 Profile Sample	1423.01		20	1.61	18	0.894	Line Profile Sample
Line Profile Sample 20 for Lines 20	Lines 20 Profile Sample	1474.56		20	1.7	19	0.944	Line Profile Sample
Line Profile Sample 21 for Lines 20	Lines 20 Profile Sample	1475.49		20	1.79	20	0.994	Line Profile Sample
Line Profile Sample 22 for Lines 20	Lines 20 Profile Sample	1474		20	1.8	20.12	1	Line Profile Sample
