
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 54	Lines 54 Profile Sample	1121	 60	54	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 54	Lines 54 Profile Sample	1177.49	 60	54	0.0894	1	0.0588	Line Profile Sample
Line Profile Sample 3 for Lines 54	Lines 54 Profile Sample	1216.77	 60	54	0.179	2	0.118	Line Profile Sample
Line Profile Sample 4 for Lines 54	Lines 54 Profile Sample	1224.63	 60	54	0.268	3	0.176	Line Profile Sample
Line Profile Sample 5 for Lines 54	Lines 54 Profile Sample	1184.36	 60	54	0.357	4	0.235	Line Profile Sample
Line Profile Sample 6 for Lines 54	Lines 54 Profile Sample	1156.86	 60	54	0.447	5	0.294	Line Profile Sample
Line Profile Sample 7 for Lines 54	Lines 54 Profile Sample	1179.07	 60	54	0.536	6	0.353	Line Profile Sample
Line Profile Sample 8 for Lines 54	Lines 54 Profile Sample	1195.13	 60	54	0.626	7	0.412	Line Profile Sample
Line Profile Sample 9 for Lines 54	Lines 54 Profile Sample	1225.62	 60	54	0.715	8	0.471	Line Profile Sample
Line Profile Sample 10 for Lines 54	Lines 54 Profile Sample	1222.16	 60	54	0.804	9	0.529	Line Profile Sample
Line Profile Sample 11 for Lines 54	Lines 54 Profile Sample	1183.14	 60	54	0.894	10	0.588	Line Profile Sample
Line Profile Sample 12 for Lines 54	Lines 54 Profile Sample	1146.79	 60	54	0.983	11	0.647	Line Profile Sample
Line Profile Sample 13 for Lines 54	Lines 54 Profile Sample	1157.52	 60	54	1.07	12	0.706	Line Profile Sample
Line Profile Sample 14 for Lines 54	Lines 54 Profile Sample	1198.76	 60	54	1.16	13	0.765	Line Profile Sample
Line Profile Sample 15 for Lines 54	Lines 54 Profile Sample	1269.52	 60	54	1.25	14	0.824	Line Profile Sample
Line Profile Sample 16 for Lines 54	Lines 54 Profile Sample	1415.69	 60	54	1.34	15	0.882	Line Profile Sample
Line Profile Sample 17 for Lines 54	Lines 54 Profile Sample	1614.44	 60	54	1.43	16	0.941	Line Profile Sample
Line Profile Sample 18 for Lines 54	Lines 54 Profile Sample	1665.98	 60	54	1.52	17	1	Line Profile Sample
Line Profile Sample 19 for Lines 54	Lines 54 Profile Sample	1666	 60	54	1.52	17	1	Line Profile Sample
