
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 11	Lines 11 Profile Sample	1572		11	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 11	Lines 11 Profile Sample	1573.9		11	0.0894	1	0.0438	Line Profile Sample
Line Profile Sample 3 for Lines 11	Lines 11 Profile Sample	1466.96		11	0.179	2	0.0875	Line Profile Sample
Line Profile Sample 4 for Lines 11	Lines 11 Profile Sample	1393.69		11	0.268	3	0.131	Line Profile Sample
Line Profile Sample 5 for Lines 11	Lines 11 Profile Sample	1409.37		11	0.357	4	0.175	Line Profile Sample
Line Profile Sample 6 for Lines 11	Lines 11 Profile Sample	1423.37		11	0.447	5	0.219	Line Profile Sample
Line Profile Sample 7 for Lines 11	Lines 11 Profile Sample	1420.82		11	0.536	6	0.263	Line Profile Sample
Line Profile Sample 8 for Lines 11	Lines 11 Profile Sample	1413.31		11	0.626	7	0.306	Line Profile Sample
Line Profile Sample 9 for Lines 11	Lines 11 Profile Sample	1407.44		11	0.715	8	0.35	Line Profile Sample
Line Profile Sample 10 for Lines 11	Lines 11 Profile Sample	1442.52		11	0.804	9	0.394	Line Profile Sample
Line Profile Sample 11 for Lines 11	Lines 11 Profile Sample	1486.07		11	0.894	10	0.438	Line Profile Sample
Line Profile Sample 12 for Lines 11	Lines 11 Profile Sample	1475.36		11	0.983	11	0.481	Line Profile Sample
Line Profile Sample 13 for Lines 11	Lines 11 Profile Sample	1419.54		11	1.07	12	0.525	Line Profile Sample
Line Profile Sample 14 for Lines 11	Lines 11 Profile Sample	1381.3		11	1.16	13	0.569	Line Profile Sample
Line Profile Sample 15 for Lines 11	Lines 11 Profile Sample	1420.55		11	1.25	14	0.613	Line Profile Sample
Line Profile Sample 16 for Lines 11	Lines 11 Profile Sample	1420.38		11	1.34	15	0.657	Line Profile Sample
Line Profile Sample 17 for Lines 11	Lines 11 Profile Sample	1404.48		11	1.43	16	0.7	Line Profile Sample
Line Profile Sample 18 for Lines 11	Lines 11 Profile Sample	1425.85		11	1.52	17	0.744	Line Profile Sample
Line Profile Sample 19 for Lines 11	Lines 11 Profile Sample	1459.62		11	1.61	18	0.788	Line Profile Sample
Line Profile Sample 20 for Lines 11	Lines 11 Profile Sample	1523.01		11	1.7	19	0.832	Line Profile Sample
Line Profile Sample 21 for Lines 11	Lines 11 Profile Sample	1593.94		11	1.79	20	0.875	Line Profile Sample
Line Profile Sample 22 for Lines 11	Lines 11 Profile Sample	1654.71		11	1.88	21	0.919	Line Profile Sample
Line Profile Sample 23 for Lines 11	Lines 11 Profile Sample	1661.95		11	1.97	22	0.963	Line Profile Sample
Line Profile Sample 24 for Lines 11	Lines 11 Profile Sample	1589		11	2.04	22.85	1	Line Profile Sample
