
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 67	Lines 67 Profile Sample	784	 69	67	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 67	Lines 67 Profile Sample	752.71	 69	67	0.0894	1	0.0559	Line Profile Sample
Line Profile Sample 3 for Lines 67	Lines 67 Profile Sample	731.6	 69	67	0.179	2	0.112	Line Profile Sample
Line Profile Sample 4 for Lines 67	Lines 67 Profile Sample	737.54	 69	67	0.268	3	0.168	Line Profile Sample
Line Profile Sample 5 for Lines 67	Lines 67 Profile Sample	751.29	 69	67	0.357	4	0.224	Line Profile Sample
Line Profile Sample 6 for Lines 67	Lines 67 Profile Sample	766.5	 69	67	0.447	5	0.28	Line Profile Sample
Line Profile Sample 7 for Lines 67	Lines 67 Profile Sample	773.38	 69	67	0.536	6	0.335	Line Profile Sample
Line Profile Sample 8 for Lines 67	Lines 67 Profile Sample	791.25	 69	67	0.626	7	0.391	Line Profile Sample
Line Profile Sample 9 for Lines 67	Lines 67 Profile Sample	811.05	 69	67	0.715	8	0.447	Line Profile Sample
Line Profile Sample 10 for Lines 67	Lines 67 Profile Sample	824.96	 69	67	0.804	9	0.503	Line Profile Sample
Line Profile Sample 11 for Lines 67	Lines 67 Profile Sample	840.18	 69	67	0.894	10	0.559	Line Profile Sample
Line Profile Sample 12 for Lines 67	Lines 67 Profile Sample	856.63	 69	67	0.983	11	0.615	Line Profile Sample
Line Profile Sample 13 for Lines 67	Lines 67 Profile Sample	901.78	 69	67	1.07	12	0.671	Line Profile Sample
Line Profile Sample 14 for Lines 67	Lines 67 Profile Sample	972.72	 69	67	1.16	13	0.727	Line Profile Sample
Line Profile Sample 15 for Lines 67	Lines 67 Profile Sample	1065.14	 69	67	1.25	14	0.783	Line Profile Sample
Line Profile Sample 16 for Lines 67	Lines 67 Profile Sample	1142.07	 69	67	1.34	15	0.839	Line Profile Sample
Line Profile Sample 17 for Lines 67	Lines 67 Profile Sample	1155.06	 69	67	1.43	16	0.894	Line Profile Sample
Line Profile Sample 18 for Lines 67	Lines 67 Profile Sample	1118.41	 69	67	1.52	17	0.95	Line Profile Sample
Line Profile Sample 19 for Lines 67	Lines 67 Profile Sample	1037	 69	67	1.6	17.89	1	Line Profile Sample
