
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 33	Lines 33 Profile Sample	728	 58	33	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 33	Lines 33 Profile Sample	771.28	 58	33	0.0894	1	0.0362	Line Profile Sample
Line Profile Sample 3 for Lines 33	Lines 33 Profile Sample	774.33	 58	33	0.179	2	0.0723	Line Profile Sample
Line Profile Sample 4 for Lines 33	Lines 33 Profile Sample	754.85	 58	33	0.268	3	0.108	Line Profile Sample
Line Profile Sample 5 for Lines 33	Lines 33 Profile Sample	745.83	 58	33	0.357	4	0.145	Line Profile Sample
Line Profile Sample 6 for Lines 33	Lines 33 Profile Sample	742.06	 58	33	0.447	5	0.181	Line Profile Sample
Line Profile Sample 7 for Lines 33	Lines 33 Profile Sample	754.27	 58	33	0.536	6	0.217	Line Profile Sample
Line Profile Sample 8 for Lines 33	Lines 33 Profile Sample	756.07	 58	33	0.626	7	0.253	Line Profile Sample
Line Profile Sample 9 for Lines 33	Lines 33 Profile Sample	759.66	 58	33	0.715	8	0.289	Line Profile Sample
Line Profile Sample 10 for Lines 33	Lines 33 Profile Sample	758.29	 58	33	0.804	9	0.325	Line Profile Sample
Line Profile Sample 11 for Lines 33	Lines 33 Profile Sample	767.18	 58	33	0.894	10	0.362	Line Profile Sample
Line Profile Sample 12 for Lines 33	Lines 33 Profile Sample	757.35	 58	33	0.983	11	0.398	Line Profile Sample
Line Profile Sample 13 for Lines 33	Lines 33 Profile Sample	766.8	 58	33	1.07	12	0.434	Line Profile Sample
Line Profile Sample 14 for Lines 33	Lines 33 Profile Sample	770.5	 58	33	1.16	13	0.47	Line Profile Sample
Line Profile Sample 15 for Lines 33	Lines 33 Profile Sample	764.86	 58	33	1.25	14	0.506	Line Profile Sample
Line Profile Sample 16 for Lines 33	Lines 33 Profile Sample	774.71	 58	33	1.34	15	0.542	Line Profile Sample
Line Profile Sample 17 for Lines 33	Lines 33 Profile Sample	761.69	 58	33	1.43	16	0.578	Line Profile Sample
Line Profile Sample 18 for Lines 33	Lines 33 Profile Sample	758.02	 58	33	1.52	17	0.615	Line Profile Sample
Line Profile Sample 19 for Lines 33	Lines 33 Profile Sample	751.76	 58	33	1.61	18	0.651	Line Profile Sample
Line Profile Sample 20 for Lines 33	Lines 33 Profile Sample	735.52	 58	33	1.7	19	0.687	Line Profile Sample
Line Profile Sample 21 for Lines 33	Lines 33 Profile Sample	736.96	 58	33	1.79	20	0.723	Line Profile Sample
Line Profile Sample 22 for Lines 33	Lines 33 Profile Sample	721.56	 58	33	1.88	21	0.759	Line Profile Sample
Line Profile Sample 23 for Lines 33	Lines 33 Profile Sample	711.76	 58	33	1.97	22	0.795	Line Profile Sample
Line Profile Sample 24 for Lines 33	Lines 33 Profile Sample	713.33	 58	33	2.06	23	0.832	Line Profile Sample
Line Profile Sample 25 for Lines 33	Lines 33 Profile Sample	729.36	 58	33	2.14	24	0.868	Line Profile Sample
Line Profile Sample 26 for Lines 33	Lines 33 Profile Sample	742.98	 58	33	2.23	25	0.904	Line Profile Sample
Line Profile Sample 27 for Lines 33	Lines 33 Profile Sample	738.23	 58	33	2.32	26	0.94	Line Profile Sample
Line Profile Sample 28 for Lines 33	Lines 33 Profile Sample	747.22	 58	33	2.41	27	0.976	Line Profile Sample
Line Profile Sample 29 for Lines 33	Lines 33 Profile Sample	742	 58	33	2.47	27.66	1	Line Profile Sample
