
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 18	Lines 18 Profile Sample	945	 58	18	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 18	Lines 18 Profile Sample	989.04	 58	18	0.0894	1	0.039	Line Profile Sample
Line Profile Sample 3 for Lines 18	Lines 18 Profile Sample	978.6	 58	18	0.179	2	0.0781	Line Profile Sample
Line Profile Sample 4 for Lines 18	Lines 18 Profile Sample	963.88	 58	18	0.268	3	0.117	Line Profile Sample
Line Profile Sample 5 for Lines 18	Lines 18 Profile Sample	954.82	 58	18	0.357	4	0.156	Line Profile Sample
Line Profile Sample 6 for Lines 18	Lines 18 Profile Sample	955.63	 58	18	0.447	5	0.195	Line Profile Sample
Line Profile Sample 7 for Lines 18	Lines 18 Profile Sample	930.98	 58	18	0.536	6	0.234	Line Profile Sample
Line Profile Sample 8 for Lines 18	Lines 18 Profile Sample	924.13	 58	18	0.626	7	0.273	Line Profile Sample
Line Profile Sample 9 for Lines 18	Lines 18 Profile Sample	913.53	 58	18	0.715	8	0.312	Line Profile Sample
Line Profile Sample 10 for Lines 18	Lines 18 Profile Sample	913.73	 58	18	0.804	9	0.351	Line Profile Sample
Line Profile Sample 11 for Lines 18	Lines 18 Profile Sample	933.65	 58	18	0.894	10	0.39	Line Profile Sample
Line Profile Sample 12 for Lines 18	Lines 18 Profile Sample	949.27	 58	18	0.983	11	0.429	Line Profile Sample
Line Profile Sample 13 for Lines 18	Lines 18 Profile Sample	947.54	 58	18	1.07	12	0.469	Line Profile Sample
Line Profile Sample 14 for Lines 18	Lines 18 Profile Sample	935.04	 58	18	1.16	13	0.508	Line Profile Sample
Line Profile Sample 15 for Lines 18	Lines 18 Profile Sample	919.41	 58	18	1.25	14	0.547	Line Profile Sample
Line Profile Sample 16 for Lines 18	Lines 18 Profile Sample	922.61	 58	18	1.34	15	0.586	Line Profile Sample
Line Profile Sample 17 for Lines 18	Lines 18 Profile Sample	934.82	 58	18	1.43	16	0.625	Line Profile Sample
Line Profile Sample 18 for Lines 18	Lines 18 Profile Sample	937.63	 58	18	1.52	17	0.664	Line Profile Sample
Line Profile Sample 19 for Lines 18	Lines 18 Profile Sample	914.99	 58	18	1.61	18	0.703	Line Profile Sample
Line Profile Sample 20 for Lines 18	Lines 18 Profile Sample	911.71	 58	18	1.7	19	0.742	Line Profile Sample
Line Profile Sample 21 for Lines 18	Lines 18 Profile Sample	940.76	 58	18	1.79	20	0.781	Line Profile Sample
Line Profile Sample 22 for Lines 18	Lines 18 Profile Sample	971.75	 58	18	1.88	21	0.82	Line Profile Sample
Line Profile Sample 23 for Lines 18	Lines 18 Profile Sample	1012.88	 58	18	1.97	22	0.859	Line Profile Sample
Line Profile Sample 24 for Lines 18	Lines 18 Profile Sample	1099.14	 58	18	2.06	23	0.898	Line Profile Sample
Line Profile Sample 25 for Lines 18	Lines 18 Profile Sample	1171.74	 58	18	2.14	24	0.937	Line Profile Sample
Line Profile Sample 26 for Lines 18	Lines 18 Profile Sample	1093.3	 58	18	2.23	25	0.976	Line Profile Sample
Line Profile Sample 27 for Lines 18	Lines 18 Profile Sample	1017	 58	18	2.29	25.61	1	Line Profile Sample
