
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 24	Lines 24 Profile Sample	607	 58	24	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 24	Lines 24 Profile Sample	666.06	 58	24	0.0894	1	0.0487	Line Profile Sample
Line Profile Sample 3 for Lines 24	Lines 24 Profile Sample	698.26	 58	24	0.179	2	0.0975	Line Profile Sample
Line Profile Sample 4 for Lines 24	Lines 24 Profile Sample	714.27	 58	24	0.268	3	0.146	Line Profile Sample
Line Profile Sample 5 for Lines 24	Lines 24 Profile Sample	718.45	 58	24	0.357	4	0.195	Line Profile Sample
Line Profile Sample 6 for Lines 24	Lines 24 Profile Sample	726.79	 58	24	0.447	5	0.244	Line Profile Sample
Line Profile Sample 7 for Lines 24	Lines 24 Profile Sample	733.8	 58	24	0.536	6	0.292	Line Profile Sample
Line Profile Sample 8 for Lines 24	Lines 24 Profile Sample	745.49	 58	24	0.626	7	0.341	Line Profile Sample
Line Profile Sample 9 for Lines 24	Lines 24 Profile Sample	749.77	 58	24	0.715	8	0.39	Line Profile Sample
Line Profile Sample 10 for Lines 24	Lines 24 Profile Sample	761.48	 58	24	0.804	9	0.439	Line Profile Sample
Line Profile Sample 11 for Lines 24	Lines 24 Profile Sample	780.12	 58	24	0.894	10	0.487	Line Profile Sample
Line Profile Sample 12 for Lines 24	Lines 24 Profile Sample	776.3	 58	24	0.983	11	0.536	Line Profile Sample
Line Profile Sample 13 for Lines 24	Lines 24 Profile Sample	775.6	 58	24	1.07	12	0.585	Line Profile Sample
Line Profile Sample 14 for Lines 24	Lines 24 Profile Sample	772.35	 58	24	1.16	13	0.634	Line Profile Sample
Line Profile Sample 15 for Lines 24	Lines 24 Profile Sample	768.68	 58	24	1.25	14	0.682	Line Profile Sample
Line Profile Sample 16 for Lines 24	Lines 24 Profile Sample	757.88	 58	24	1.34	15	0.731	Line Profile Sample
Line Profile Sample 17 for Lines 24	Lines 24 Profile Sample	758.54	 58	24	1.43	16	0.78	Line Profile Sample
Line Profile Sample 18 for Lines 24	Lines 24 Profile Sample	757.29	 58	24	1.52	17	0.829	Line Profile Sample
Line Profile Sample 19 for Lines 24	Lines 24 Profile Sample	755.88	 58	24	1.61	18	0.877	Line Profile Sample
Line Profile Sample 20 for Lines 24	Lines 24 Profile Sample	773.55	 58	24	1.7	19	0.926	Line Profile Sample
Line Profile Sample 21 for Lines 24	Lines 24 Profile Sample	748.35	 58	24	1.79	20	0.975	Line Profile Sample
Line Profile Sample 22 for Lines 24	Lines 24 Profile Sample	733	 58	24	1.83	20.52	1	Line Profile Sample
