
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 40	Lines 40 Profile Sample	843	 58	40	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 40	Lines 40 Profile Sample	918.16	 58	40	0.0894	1	0.0343	Line Profile Sample
Line Profile Sample 3 for Lines 40	Lines 40 Profile Sample	947.81	 58	40	0.179	2	0.0687	Line Profile Sample
Line Profile Sample 4 for Lines 40	Lines 40 Profile Sample	966.34	 58	40	0.268	3	0.103	Line Profile Sample
Line Profile Sample 5 for Lines 40	Lines 40 Profile Sample	928.32	 58	40	0.357	4	0.137	Line Profile Sample
Line Profile Sample 6 for Lines 40	Lines 40 Profile Sample	930.72	 58	40	0.447	5	0.172	Line Profile Sample
Line Profile Sample 7 for Lines 40	Lines 40 Profile Sample	925.77	 58	40	0.536	6	0.206	Line Profile Sample
Line Profile Sample 8 for Lines 40	Lines 40 Profile Sample	927.94	 58	40	0.626	7	0.24	Line Profile Sample
Line Profile Sample 9 for Lines 40	Lines 40 Profile Sample	940.82	 58	40	0.715	8	0.275	Line Profile Sample
Line Profile Sample 10 for Lines 40	Lines 40 Profile Sample	955.65	 58	40	0.804	9	0.309	Line Profile Sample
Line Profile Sample 11 for Lines 40	Lines 40 Profile Sample	969.89	 58	40	0.894	10	0.343	Line Profile Sample
Line Profile Sample 12 for Lines 40	Lines 40 Profile Sample	959.56	 58	40	0.983	11	0.378	Line Profile Sample
Line Profile Sample 13 for Lines 40	Lines 40 Profile Sample	944.54	 58	40	1.07	12	0.412	Line Profile Sample
Line Profile Sample 14 for Lines 40	Lines 40 Profile Sample	956.14	 58	40	1.16	13	0.446	Line Profile Sample
Line Profile Sample 15 for Lines 40	Lines 40 Profile Sample	943.62	 58	40	1.25	14	0.481	Line Profile Sample
Line Profile Sample 16 for Lines 40	Lines 40 Profile Sample	937.25	 58	40	1.34	15	0.515	Line Profile Sample
Line Profile Sample 17 for Lines 40	Lines 40 Profile Sample	949.47	 58	40	1.43	16	0.549	Line Profile Sample
Line Profile Sample 18 for Lines 40	Lines 40 Profile Sample	934.9	 58	40	1.52	17	0.584	Line Profile Sample
Line Profile Sample 19 for Lines 40	Lines 40 Profile Sample	938.26	 58	40	1.61	18	0.618	Line Profile Sample
Line Profile Sample 20 for Lines 40	Lines 40 Profile Sample	935.1	 58	40	1.7	19	0.652	Line Profile Sample
Line Profile Sample 21 for Lines 40	Lines 40 Profile Sample	938.21	 58	40	1.79	20	0.687	Line Profile Sample
Line Profile Sample 22 for Lines 40	Lines 40 Profile Sample	933.05	 58	40	1.88	21	0.721	Line Profile Sample
Line Profile Sample 23 for Lines 40	Lines 40 Profile Sample	914.84	 58	40	1.97	22	0.755	Line Profile Sample
Line Profile Sample 24 for Lines 40	Lines 40 Profile Sample	919.04	 58	40	2.06	23	0.79	Line Profile Sample
Line Profile Sample 25 for Lines 40	Lines 40 Profile Sample	923.5	 58	40	2.14	24	0.824	Line Profile Sample
Line Profile Sample 26 for Lines 40	Lines 40 Profile Sample	894.07	 58	40	2.23	25	0.859	Line Profile Sample
Line Profile Sample 27 for Lines 40	Lines 40 Profile Sample	877.86	 58	40	2.32	26	0.893	Line Profile Sample
Line Profile Sample 28 for Lines 40	Lines 40 Profile Sample	851.48	 58	40	2.41	27	0.927	Line Profile Sample
Line Profile Sample 29 for Lines 40	Lines 40 Profile Sample	823.15	 58	40	2.5	28	0.962	Line Profile Sample
Line Profile Sample 30 for Lines 40	Lines 40 Profile Sample	756.86	 58	40	2.59	29	0.996	Line Profile Sample
Line Profile Sample 31 for Lines 40	Lines 40 Profile Sample	748	 58	40	2.6	29.12	1	Line Profile Sample
