1,I,1741,1858.33,1884.13,1933.46,1958.59,1991.81,1961.31,1940.43,1946.67,2007.35,1998.08,1969.63,1912.7,1943.87,1988.46,1950.2,1977.07,2048.55,2013.48,2051.21,1982.92,1962.22,1923.16,1928.34,1889.62,1906.86,1901.94,1868.85,1795.85,1777.27,1630.43,1569,,,,,,,,,,,,,
,ND,0,0.0325,0.0649,0.0974,0.13,0.162,0.195,0.227,0.26,0.292,0.325,0.357,0.39,0.422,0.454,0.487,0.519,0.552,0.584,0.617,0.649,0.682,0.714,0.747,0.779,0.812,0.844,0.876,0.909,0.941,0.974,1,,,,,,,,,,,,,
2,I,1728,1791.2,1728.84,1796,1762.97,1763.46,1793.04,1812.22,1816.33,1806.82,1852.34,1838.36,1843.85,1803.9,1763.98,1817.84,1814.87,1830.65,1883.03,1840.21,1795.22,1880.69,1826.03,1774.47,1787.07,1738.31,1667.42,1557.44,1512,,,,,,,,,,,,,,,,
,ND,0,0.0361,0.0721,0.108,0.144,0.18,0.216,0.252,0.288,0.325,0.361,0.397,0.433,0.469,0.505,0.541,0.577,0.613,0.649,0.685,0.721,0.757,0.793,0.829,0.865,0.902,0.938,0.974,1,,,,,,,,,,,,,,,,
3,I,1876,1872.12,1858.26,1894.61,1995.71,1970.95,1867.8,1938.49,1917.92,1985.06,1994.73,1917.74,1858.66,1978.58,1914.56,1932.3,1920.28,1942.99,1917.42,1891.36,1877.91,1874,,,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.0494,0.0989,0.148,0.198,0.247,0.297,0.346,0.396,0.445,0.494,0.544,0.593,0.643,0.692,0.742,0.791,0.841,0.89,0.939,0.989,1,,,,,,,,,,,,,,,,,,,,,,,
4,I,1670,1688.44,1798.31,1912.94,1987.35,1972.86,2054.63,2117.79,2049.08,2092.52,2161.35,2174.87,2075.32,2128.62,2134.12,2180.48,2254.53,2187.89,2174.09,2131.17,2024.34,1952.26,1932,,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.0462,0.0925,0.139,0.185,0.231,0.277,0.324,0.37,0.416,0.462,0.508,0.555,0.601,0.647,0.693,0.74,0.786,0.832,0.878,0.925,0.971,1,,,,,,,,,,,,,,,,,,,,,,
5,I,1874,1973.63,1952.77,1941.06,1873.22,1857.36,1898.04,1880.98,1843.1,1799.91,1888.1,1914.64,1913.23,1979.61,1986.88,2040.33,2033.76,2034.35,2040.02,2040.49,2015.03,2019.95,2003.27,1964.7,1913.91,1978.4,1851.56,1742.34,1764,,,,,,,,,,,,,,,,
,ND,0,0.0362,0.0723,0.108,0.145,0.181,0.217,0.253,0.289,0.325,0.362,0.398,0.434,0.47,0.506,0.542,0.578,0.615,0.651,0.687,0.723,0.759,0.795,0.832,0.868,0.904,0.94,0.976,1,,,,,,,,,,,,,,,,
6,I,1613,1624.92,1650.73,1688.35,1762.94,1740.03,1792.79,1787.21,1810.32,1834.51,1798.35,1782.36,1811.64,1814.79,1839.22,1813.49,1823.54,1810.81,1788.18,1769.89,1812.47,1782.99,1802,,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.0462,0.0925,0.139,0.185,0.231,0.277,0.324,0.37,0.416,0.462,0.508,0.555,0.601,0.647,0.693,0.74,0.786,0.832,0.878,0.925,0.971,1,,,,,,,,,,,,,,,,,,,,,,
7,I,1764,1848.2,1864.17,1910.46,2003.66,1965.84,1927.02,1960.63,1959.21,1934.39,1989.91,1987.6,2077,2026.18,2070.75,1923.35,1761,1677.23,1573.9,1571,,,,,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.0555,0.111,0.166,0.222,0.277,0.333,0.388,0.444,0.499,0.555,0.61,0.666,0.721,0.777,0.832,0.888,0.943,0.998,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,I,1515,1551.61,1555.24,1580.95,1607.86,1621.45,1638.69,1680.63,1709.42,1716.71,1652.4,1720.41,1764.49,1752.46,1755.85,1746.04,1711.66,1736.26,1722.54,1737.42,1679.78,1709.69,1735.67,1674,1661.77,1712.53,1734.78,1739.36,1695.5,1650.9,1630,1656.93,1639.08,1611.01,1602,1552.9,1510,,,,,,,,
,ND,0,0.0282,0.0564,0.0846,0.113,0.141,0.169,0.197,0.226,0.254,0.282,0.31,0.338,0.367,0.395,0.423,0.451,0.479,0.507,0.536,0.564,0.592,0.62,0.648,0.677,0.705,0.733,0.761,0.789,0.818,0.846,0.874,0.902,0.93,0.959,0.987,1,,,,,,,,
