
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 17	Lines 17 Profile Sample	1406		17	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 17	Lines 17 Profile Sample	1473.17		17	0.0894	1	0.0389	Line Profile Sample
Line Profile Sample 3 for Lines 17	Lines 17 Profile Sample	1513.7		17	0.179	2	0.0778	Line Profile Sample
Line Profile Sample 4 for Lines 17	Lines 17 Profile Sample	1505.88		17	0.268	3	0.117	Line Profile Sample
Line Profile Sample 5 for Lines 17	Lines 17 Profile Sample	1441.08		17	0.357	4	0.156	Line Profile Sample
Line Profile Sample 6 for Lines 17	Lines 17 Profile Sample	1425.26		17	0.447	5	0.194	Line Profile Sample
Line Profile Sample 7 for Lines 17	Lines 17 Profile Sample	1404.82		17	0.536	6	0.233	Line Profile Sample
Line Profile Sample 8 for Lines 17	Lines 17 Profile Sample	1389.69		17	0.626	7	0.272	Line Profile Sample
Line Profile Sample 9 for Lines 17	Lines 17 Profile Sample	1408.45		17	0.715	8	0.311	Line Profile Sample
Line Profile Sample 10 for Lines 17	Lines 17 Profile Sample	1398.42		17	0.804	9	0.35	Line Profile Sample
Line Profile Sample 11 for Lines 17	Lines 17 Profile Sample	1405.92		17	0.894	10	0.389	Line Profile Sample
Line Profile Sample 12 for Lines 17	Lines 17 Profile Sample	1417.57		17	0.983	11	0.428	Line Profile Sample
Line Profile Sample 13 for Lines 17	Lines 17 Profile Sample	1428.51		17	1.07	12	0.467	Line Profile Sample
Line Profile Sample 14 for Lines 17	Lines 17 Profile Sample	1430.24		17	1.16	13	0.506	Line Profile Sample
Line Profile Sample 15 for Lines 17	Lines 17 Profile Sample	1441		17	1.25	14	0.545	Line Profile Sample
Line Profile Sample 16 for Lines 17	Lines 17 Profile Sample	1452.14		17	1.34	15	0.583	Line Profile Sample
Line Profile Sample 17 for Lines 17	Lines 17 Profile Sample	1457.24		17	1.43	16	0.622	Line Profile Sample
Line Profile Sample 18 for Lines 17	Lines 17 Profile Sample	1436.08		17	1.52	17	0.661	Line Profile Sample
Line Profile Sample 19 for Lines 17	Lines 17 Profile Sample	1427.84		17	1.61	18	0.7	Line Profile Sample
Line Profile Sample 20 for Lines 17	Lines 17 Profile Sample	1448.7		17	1.7	19	0.739	Line Profile Sample
Line Profile Sample 21 for Lines 17	Lines 17 Profile Sample	1475.18		17	1.79	20	0.778	Line Profile Sample
Line Profile Sample 22 for Lines 17	Lines 17 Profile Sample	1494.77		17	1.88	21	0.817	Line Profile Sample
Line Profile Sample 23 for Lines 17	Lines 17 Profile Sample	1533.89		17	1.97	22	0.856	Line Profile Sample
Line Profile Sample 24 for Lines 17	Lines 17 Profile Sample	1560.08		17	2.06	23	0.895	Line Profile Sample
Line Profile Sample 25 for Lines 17	Lines 17 Profile Sample	1587.37		17	2.14	24	0.933	Line Profile Sample
Line Profile Sample 26 for Lines 17	Lines 17 Profile Sample	1618.19		17	2.23	25	0.972	Line Profile Sample
Line Profile Sample 27 for Lines 17	Lines 17 Profile Sample	1600		17	2.3	25.71	1	Line Profile Sample
