
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 16	Lines 16 Profile Sample	1707	 7	16	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 16	Lines 16 Profile Sample	1670.53	 7	16	0.0894	1	0.0538	Line Profile Sample
Line Profile Sample 3 for Lines 16	Lines 16 Profile Sample	1650.06	 7	16	0.179	2	0.108	Line Profile Sample
Line Profile Sample 4 for Lines 16	Lines 16 Profile Sample	1645.02	 7	16	0.268	3	0.161	Line Profile Sample
Line Profile Sample 5 for Lines 16	Lines 16 Profile Sample	1631.66	 7	16	0.357	4	0.215	Line Profile Sample
Line Profile Sample 6 for Lines 16	Lines 16 Profile Sample	1625.98	 7	16	0.447	5	0.269	Line Profile Sample
Line Profile Sample 7 for Lines 16	Lines 16 Profile Sample	1625.23	 7	16	0.536	6	0.323	Line Profile Sample
Line Profile Sample 8 for Lines 16	Lines 16 Profile Sample	1662.81	 7	16	0.626	7	0.376	Line Profile Sample
Line Profile Sample 9 for Lines 16	Lines 16 Profile Sample	1674.67	 7	16	0.715	8	0.43	Line Profile Sample
Line Profile Sample 10 for Lines 16	Lines 16 Profile Sample	1681.59	 7	16	0.804	9	0.484	Line Profile Sample
Line Profile Sample 11 for Lines 16	Lines 16 Profile Sample	1725.49	 7	16	0.894	10	0.538	Line Profile Sample
Line Profile Sample 12 for Lines 16	Lines 16 Profile Sample	1740.92	 7	16	0.983	11	0.591	Line Profile Sample
Line Profile Sample 13 for Lines 16	Lines 16 Profile Sample	1789.92	 7	16	1.07	12	0.645	Line Profile Sample
Line Profile Sample 14 for Lines 16	Lines 16 Profile Sample	1839.64	 7	16	1.16	13	0.699	Line Profile Sample
Line Profile Sample 15 for Lines 16	Lines 16 Profile Sample	1898.68	 7	16	1.25	14	0.753	Line Profile Sample
Line Profile Sample 16 for Lines 16	Lines 16 Profile Sample	1972.96	 7	16	1.34	15	0.806	Line Profile Sample
Line Profile Sample 17 for Lines 16	Lines 16 Profile Sample	2038.48	 7	16	1.43	16	0.86	Line Profile Sample
Line Profile Sample 18 for Lines 16	Lines 16 Profile Sample	2131.25	 7	16	1.52	17	0.914	Line Profile Sample
Line Profile Sample 19 for Lines 16	Lines 16 Profile Sample	2161.1	 7	16	1.61	18	0.968	Line Profile Sample
Line Profile Sample 20 for Lines 16	Lines 16 Profile Sample	2198	 7	16	1.66	18.6	1	Line Profile Sample
