
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 48	Lines 48 Profile Sample	2068	 4	48	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 48	Lines 48 Profile Sample	2223.64	 4	48	0.0894	1	0.0527	Line Profile Sample
Line Profile Sample 3 for Lines 48	Lines 48 Profile Sample	2454.8	 4	48	0.179	2	0.105	Line Profile Sample
Line Profile Sample 4 for Lines 48	Lines 48 Profile Sample	2689.36	 4	48	0.268	3	0.158	Line Profile Sample
Line Profile Sample 5 for Lines 48	Lines 48 Profile Sample	2815.52	 4	48	0.357	4	0.211	Line Profile Sample
Line Profile Sample 6 for Lines 48	Lines 48 Profile Sample	2836.84	 4	48	0.447	5	0.264	Line Profile Sample
Line Profile Sample 7 for Lines 48	Lines 48 Profile Sample	2787.57	 4	48	0.536	6	0.316	Line Profile Sample
Line Profile Sample 8 for Lines 48	Lines 48 Profile Sample	2675.02	 4	48	0.626	7	0.369	Line Profile Sample
Line Profile Sample 9 for Lines 48	Lines 48 Profile Sample	2592.27	 4	48	0.715	8	0.422	Line Profile Sample
Line Profile Sample 10 for Lines 48	Lines 48 Profile Sample	2523.28	 4	48	0.804	9	0.474	Line Profile Sample
Line Profile Sample 11 for Lines 48	Lines 48 Profile Sample	2492.63	 4	48	0.894	10	0.527	Line Profile Sample
Line Profile Sample 12 for Lines 48	Lines 48 Profile Sample	2521.33	 4	48	0.983	11	0.58	Line Profile Sample
Line Profile Sample 13 for Lines 48	Lines 48 Profile Sample	2596.34	 4	48	1.07	12	0.632	Line Profile Sample
Line Profile Sample 14 for Lines 48	Lines 48 Profile Sample	2692.11	 4	48	1.16	13	0.685	Line Profile Sample
Line Profile Sample 15 for Lines 48	Lines 48 Profile Sample	2775.69	 4	48	1.25	14	0.738	Line Profile Sample
Line Profile Sample 16 for Lines 48	Lines 48 Profile Sample	2790.42	 4	48	1.34	15	0.791	Line Profile Sample
Line Profile Sample 17 for Lines 48	Lines 48 Profile Sample	2761.87	 4	48	1.43	16	0.843	Line Profile Sample
Line Profile Sample 18 for Lines 48	Lines 48 Profile Sample	2676.55	 4	48	1.52	17	0.896	Line Profile Sample
Line Profile Sample 19 for Lines 48	Lines 48 Profile Sample	2551.61	 4	48	1.61	18	0.949	Line Profile Sample
Line Profile Sample 20 for Lines 48	Lines 48 Profile Sample	2382	 4	48	1.7	18.97	1	Line Profile Sample
