
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 53	Lines 53 Profile Sample	2546	 4	53	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 53	Lines 53 Profile Sample	2482.3	 4	53	0.0894	1	0.0413	Line Profile Sample
Line Profile Sample 3 for Lines 53	Lines 53 Profile Sample	2447.78	 4	53	0.179	2	0.0827	Line Profile Sample
Line Profile Sample 4 for Lines 53	Lines 53 Profile Sample	2437.83	 4	53	0.268	3	0.124	Line Profile Sample
Line Profile Sample 5 for Lines 53	Lines 53 Profile Sample	2440.02	 4	53	0.357	4	0.165	Line Profile Sample
Line Profile Sample 6 for Lines 53	Lines 53 Profile Sample	2438.87	 4	53	0.447	5	0.207	Line Profile Sample
Line Profile Sample 7 for Lines 53	Lines 53 Profile Sample	2431.89	 4	53	0.536	6	0.248	Line Profile Sample
Line Profile Sample 8 for Lines 53	Lines 53 Profile Sample	2448.06	 4	53	0.626	7	0.289	Line Profile Sample
Line Profile Sample 9 for Lines 53	Lines 53 Profile Sample	2493.8	 4	53	0.715	8	0.331	Line Profile Sample
Line Profile Sample 10 for Lines 53	Lines 53 Profile Sample	2503.02	 4	53	0.804	9	0.372	Line Profile Sample
Line Profile Sample 11 for Lines 53	Lines 53 Profile Sample	2473.17	 4	53	0.894	10	0.413	Line Profile Sample
Line Profile Sample 12 for Lines 53	Lines 53 Profile Sample	2469.3	 4	53	0.983	11	0.455	Line Profile Sample
Line Profile Sample 13 for Lines 53	Lines 53 Profile Sample	2467	 4	53	1.07	12	0.496	Line Profile Sample
Line Profile Sample 14 for Lines 53	Lines 53 Profile Sample	2454.4	 4	53	1.16	13	0.537	Line Profile Sample
Line Profile Sample 15 for Lines 53	Lines 53 Profile Sample	2451.27	 4	53	1.25	14	0.579	Line Profile Sample
Line Profile Sample 16 for Lines 53	Lines 53 Profile Sample	2392.1	 4	53	1.34	15	0.62	Line Profile Sample
Line Profile Sample 17 for Lines 53	Lines 53 Profile Sample	2392.56	 4	53	1.43	16	0.662	Line Profile Sample
Line Profile Sample 18 for Lines 53	Lines 53 Profile Sample	2408.91	 4	53	1.52	17	0.703	Line Profile Sample
Line Profile Sample 19 for Lines 53	Lines 53 Profile Sample	2432.8	 4	53	1.61	18	0.744	Line Profile Sample
Line Profile Sample 20 for Lines 53	Lines 53 Profile Sample	2455.26	 4	53	1.7	19	0.786	Line Profile Sample
Line Profile Sample 21 for Lines 53	Lines 53 Profile Sample	2469.17	 4	53	1.79	20	0.827	Line Profile Sample
Line Profile Sample 22 for Lines 53	Lines 53 Profile Sample	2482.63	 4	53	1.88	21	0.868	Line Profile Sample
Line Profile Sample 23 for Lines 53	Lines 53 Profile Sample	2499.01	 4	53	1.97	22	0.91	Line Profile Sample
Line Profile Sample 24 for Lines 53	Lines 53 Profile Sample	2562.24	 4	53	2.06	23	0.951	Line Profile Sample
Line Profile Sample 25 for Lines 53	Lines 53 Profile Sample	2649.78	 4	53	2.14	24	0.992	Line Profile Sample
Line Profile Sample 26 for Lines 53	Lines 53 Profile Sample	2666	 4	53	2.16	24.19	1	Line Profile Sample
